cfr_title,cfr_part,topic,atlas_concept,witness_documents,part_witness_documents,witness_rate,first_witnessed,last_witnessed
1,11,code of federal regulations,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-7323-9a90-6fec2f666eaf,4,4,1.0,2001-06-06,2004-03-18
1,11,federal register,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-76d4-8e08-494da20c70ef,4,4,1.0,2001-06-06,2004-03-18
1,11,government publications,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-7bad-8b50-4a23d490a0dc,4,4,1.0,2001-06-06,2004-03-18
1,11,weekly compilation of presidential documents,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-7338-9b23-5925851e3dbf,4,4,1.0,2001-06-06,2004-03-18
1,12,code of federal regulations,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-7323-9a90-6fec2f666eaf,2,2,1.0,2020-12-30,2022-05-04
1,12,federal register,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-76d4-8e08-494da20c70ef,2,2,1.0,2020-12-30,2022-05-04
1,12,government publications,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-7bad-8b50-4a23d490a0dc,2,2,1.0,2020-12-30,2022-05-04
1,12,public papers of presidents of u.s.,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-7f2f-9113-00c0a0c6fc3e,2,2,1.0,2020-12-30,2022-05-04
1,12,compilation of presidential documents,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-7680-a4f8-beea5b2ccc70,1,2,0.5,2020-12-30,2020-12-30
1,304,administrative practice and procedure,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-790a-9915-43b9489100c3,3,3,1.0,2011-01-11,2017-01-23
1,304,freedom of information,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-79e3-b7b1-a6451af721e1,3,3,1.0,2011-01-11,2017-01-23
1,304,privacy,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-720a-af38-70462ee66d34,2,3,0.6667,2011-01-11,2011-04-05
1,426,administrative practice and procedure,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-790a-9915-43b9489100c3,2,2,1.0,2018-05-02,2018-05-02
1,426,reporting and recordkeeping requirements,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-7787-84f4-353167578fcc,2,2,1.0,2018-05-02,2018-05-02
1,426,privacy,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-720a-af38-70462ee66d34,1,2,0.5,2018-05-02,2018-05-02
1,456,freedom of information,urn:ref:source-concept:v2:federal-register-api:019fc4eb-9000-79e3-b7b1-a6451af721e1,3,3,1.0,2013-08-19,2017-09-20
