cfr_title,cfr_part,part_heading,term
1,1,Definitions,Administrative practice and procedure
1,2,General information,Federal Register
1,2,General information,Government publications
1,2,General information,Organization and functions (Government agencies)
1,3,Services to the public,Government publications
1,3,Services to the public,Organization and functions (Government agencies)
1,5,General,Administrative practice and procedure
1,5,General,Federal Register
1,5,General,Government publications
1,6,Indexes and ancillaries,Administrative practice and procedure
1,6,Indexes and ancillaries,Federal Register
1,6,Indexes and ancillaries,Government publications
1,8,Code of Federal Regulations,Administrative practice and procedure
1,8,Code of Federal Regulations,Code of Federal Regulations
1,8,Code of Federal Regulations,Government publications
1,9,The United States Government Manual,Government publications
1,9,The United States Government Manual,U.S. Government Manual
1,10,Presidential Papers,Government publications
1,10,Presidential Papers,Presidential documents
1,10,Presidential Papers,Public Papers of Presidents of U.S
1,11,Subscriptions,Code of Federal Regulations
1,11,Subscriptions,Compilation of Presidential Documents
1,11,Subscriptions,Federal Register
1,11,Subscriptions,Government publications
1,11,Subscriptions,Public Papers of Presidents of U.S
1,11,Subscriptions,U.S. Government Manual
1,12,Official distribution within Federal Government,Code of Federal Regulations
1,12,Official distribution within Federal Government,Compilation of Presidential Documents
1,12,Official distribution within Federal Government,Federal Register
1,12,Official distribution within Federal Government,Government publications
1,12,Official distribution within Federal Government,Public Papers of Presidents of U.S
1,12,Official distribution within Federal Government,U.S. Government Manual
1,15,Services to Federal agencies,Organization and functions (Government agencies)
1,16,Agency representatives,Federal Register
1,17,Filing for public inspection and publication schedules,Federal Register
1,18,Preparation and transmittal of documents generally,Administrative practice and procedure
1,18,Preparation and transmittal of documents generally,Federal Register
1,19,Executive orders and Presidential proclamations,Executive orders
1,19,Executive orders and Presidential proclamations,Federal Register
1,19,Executive orders and Presidential proclamations,Proclamations
1,20,Handling of the United States Government Manual statements,U.S. Government Manual
1,21,Preparation of documents subject to codification,Administrative practice and procedure
1,21,Preparation of documents subject to codification,Code of Federal Regulations
1,21,Preparation of documents subject to codification,Federal Register
1,22,Preparation of notices and proposed rules,Administrative practice and procedure
1,22,Preparation of notices and proposed rules,Federal Register
1,51,Incorporation by reference,Administrative practice and procedure
1,51,Incorporation by reference,Code of Federal Regulations
1,51,Incorporation by reference,Federal Register
1,301,Organization and purpose,Organization and functions (Government agencies)
1,304,Disclosure of records or information,Administrative practice and procedure
1,304,Disclosure of records or information,Freedom of information
1,304,Disclosure of records or information,Privacy
1,425,President's Commission on White House Fellowships,Privacy
1,426,"National Commission on Military, National, and Public Service",Administrative practice and procedure
1,426,"National Commission on Military, National, and Public Service",Confidential business information
1,426,"National Commission on Military, National, and Public Service",Fees
1,426,"National Commission on Military, National, and Public Service",Freedom of information
1,426,"National Commission on Military, National, and Public Service",Privacy
1,426,"National Commission on Military, National, and Public Service",Reporting and recordkeeping requirements
1,457,Enforcement of nondiscrimination on the basis of handicap in programs or activities conducted by the National Capital Planning Commission,Administrative practice and procedure
1,457,Enforcement of nondiscrimination on the basis of handicap in programs or activities conducted by the National Capital Planning Commission,Civil rights
1,457,Enforcement of nondiscrimination on the basis of handicap in programs or activities conducted by the National Capital Planning Commission,Equal employment opportunity
1,457,Enforcement of nondiscrimination on the basis of handicap in programs or activities conducted by the National Capital Planning Commission,Federal buildings and facilities
1,457,Enforcement of nondiscrimination on the basis of handicap in programs or activities conducted by the National Capital Planning Commission,Individuals with disabilities
1,500,Enforcement of nondiscrimination on the basis of handicap in programs or activities conducted by the National Commission for Employment Policy,Administrative practice and procedure
1,500,Enforcement of nondiscrimination on the basis of handicap in programs or activities conducted by the National Commission for Employment Policy,Civil rights
