eo_number,title,signing_date,president,citation
12890,Amendment to Executive Order No. 12864,1993-12-30,William J. Clinton,59 FR 499
12891,Advisory Committee on Human Radiation Experiments,1994-01-15,William J. Clinton,59 FR 2935
12892,Leadership and Coordination of Fair Housing in Federal Programs: Affirmatively Furthering Fair Housing,1994-01-17,William J. Clinton,59 FR 2939
12893,Principles for Federal Infrastructure Investments,1994-01-26,William J. Clinton,59 FR 4233
12894,North Pacific Marine Science Organization,1994-01-26,William J. Clinton,59 FR 4237
12895,North Pacific Anadromous Fish Commission,1994-01-26,William J. Clinton,59 FR 4239
12896,Amending the Civil Service Rules Concerning Political Activity,1994-02-03,William J. Clinton,59 FR 5515
12897,Garnishment of Federal Employees' Pay,1994-02-03,William J. Clinton,59 FR 5517
12898,Federal Actions To Address Environmental Justice in Minority Populations and Low-Income Populations,1994-02-11,William J. Clinton,59 FR 7629
12899,Establishing an Emergency Board To Investigate a Dispute Between The Long Island Rail Road and Certain of Its Employees Represented by the United Transportation Union,1994-02-15,William J. Clinton,59 FR 8113
12900,Educational Excellence for Hispanic Americans,1994-02-22,William J. Clinton,59 FR 9061
12901,Identification of Trade Expansion Priorities,1994-03-02,William J. Clinton,59 FR 10727
12902,Energy Efficiency and Water Conservation at Federal Facilities,1994-03-08,William J. Clinton,59 FR 11463
12903,Nuclear Cooperation With EURATOM,1994-03-09,William J. Clinton,59 FR 11473
12904,"Commission for Environmental Cooperation, Commission for Labor Cooperation, Border Environment Cooperation Commission, and North American Development Bank",1994-03-16,William J. Clinton,59 FR 13179
12905,Trade and Environment Policy Advisory Committee,1994-03-25,William J. Clinton,59 FR 14733
12906,Coordinating Geographic Data Acquisition and Access: The National Spatial Data Infrastructure,1994-04-11,William J. Clinton,59 FR 17670
12907,Amending Executive Order No. 12882,1994-04-14,William J. Clinton,59 FR 18291
12908,Order of Succession of Officers To Act as Secretary of the Army,1994-04-22,William J. Clinton,59 FR 21907
12909,Order of Succession of Officers To Act as Secretary of the Air Force,1994-04-22,William J. Clinton,59 FR 21909
12910,"Providing for the Closing of Government Departments and agencies on April 27, 1994",1994-04-23,William J. Clinton,59 FR 21915
12911,Seal for the Office of National Drug Control Policy,1994-04-25,William J. Clinton,59 FR 22121
12912,Amendment to Executive Order No. 12878,1994-04-29,William J. Clinton,59 FR 22949
12913,Revocation of Executive Order No. 12582,1994-05-02,William J. Clinton,59 FR 23115
12914,Prohibiting Certain Transactions With Respect to Haiti,1994-05-07,William J. Clinton,59 FR 24339
12915,Federal Implementation of the North American Agreement on Environmental Cooperation,1994-05-13,William J. Clinton,59 FR 25775
12916,Implementation of the Border Environment Cooperation Commission and the North American Development Bank,1994-05-13,William J. Clinton,59 FR 25779
12917,Prohibiting Certain Transactions With Respect to Haiti,1994-05-21,William J. Clinton,59 FR 26925
12918,Prohibiting Certain Transactions With Respect to Rwanda and Delegating Authority With Respect to Other United Nations Arms Embargoes,1994-05-26,William J. Clinton,59 FR 28205
12919,National Defense Industrial Resources Preparedness,1994-06-03,William J. Clinton,59 FR 29525
12920,Prohibiting Certain Transactions With Respect to Haiti,1994-06-10,William J. Clinton,59 FR 30501
12921,Amendment to Executive Order No. 12864,1994-06-13,William J. Clinton,59 FR 30667
12922,Blocking Property of Certain Haitian Nationals,1994-06-21,William J. Clinton,59 FR 32645
12923,Continuation of Export Control Regulations,1994-06-30,William J. Clinton,59 FR 34551
12924,Continuation of Export Control Regulations,1994-08-19,William J. Clinton,59 FR 43437
12925,Establishing an Emergency Board To Investigate a Dispute Between the Soo Line Railroad Company and Certain of Its Employees Represented by the United Transportation Union,1994-08-29,William J. Clinton,59 FR 45181
12926,Implementation of the National Voter Registration Act of 1993,1994-09-12,William J. Clinton,59 FR 47227
12927,Ordering the Selected Reserve of the Armed Forces to Active Duty,1994-09-15,William J. Clinton,59 FR 47781
12928,"Promoting Procurement With Small Businesses Owned and Controlled by Socially and Economically Disadvantaged Individuals, Historically Black Colleges and Universities, and Minority Institutions",1994-09-16,William J. Clinton,59 FR 48377
12929,Delegation of Authority Regarding the Naval Petroleum and Oil Shale Reserves,1994-09-29,William J. Clinton,59 FR 50473
12930,Measures To Restrict the Participation by United States Persons in Weapons Proliferation Activities,1994-09-29,William J. Clinton,59 FR 50475
12931,Federal Procurement Reform,1994-10-13,William J. Clinton,59 FR 52387
12932,Termination of Emergency With Respect to Haiti,1994-10-14,William J. Clinton,59 FR 52403
12933,Nondisplacement of Qualified Workers Under Certain Contracts,1994-10-20,William J. Clinton,59 FR 53559
