eo_number,signing_date,title,fr_citation,provenance,source_file
12668,1989-01-25,President's Commission on Federal Ethics Law Reform,"54 FR 3979; January 27, 1989",nara-live,eo-1989-bush.html
12669,1989-02-20,Organization of Eastern Caribbean States,"54 FR 7753; February 23, 1989",nara-live,eo-1989-bush.html
12670,1989-03-09,Nuclear Cooperation Wth EURATOM,"54 FR 10267; March 13, 1989",nara-live,eo-1989-bush.html
12671,1989-03-14,Exclusion of the Customs Office of Enforcement from the Federal Labor-Management Relations Program,"54 FR 11157; March 17, 1989",nara-live,eo-1989-bush.html
12672,1989-03-21,Interagency Committee on Handicapped Employees,"54 FR 12167; March 23, 1989",nara-live,eo-1989-bush.html
12673,1989-03-23,Delegation of disaster relief and emergency assistance functions,"54 FR 12571; March 28, 1989",nara-live,eo-1989-bush.html
12674,1989-04-12,Principles of ethical conduct for Government officers and employees,"54 FR 15159; April 14, 1989",nara-live,eo-1989-bush.html
12675,1989-04-20,Establishing the National Space Council,"54 FR 17691; April 25, 1989",nara-live,eo-1989-bush.html
12676,1989-04-26,Delegating authority to provide assistance for the Nicaraguan Resistance,"54 FR 18639; May 1, 1989",nara-live,eo-1989-bush.html
12677,1989-04-28,Historically black colleges and universities,"54 FR 18869; May 2, 1989",nara-live,eo-1989-bush.html
12678,1989-04-28,Level IV of the Executive Schedule,"54 FR 18872; May 2, 1989",nara-live,eo-1989-bush.html
12679,1989-06-23,Level IV of the Executive Schedule,"54 FR 27149; June 27, 1989",nara-live,eo-1989-bush.html
12680,1989-07-05,Administration of foreign assistance and related functions and arms export controls,"54 FR 28995; July 10, 1989",nara-live,eo-1989-bush.html
12681,1989-07-06,Exclusions From the Federal Labor-Management Relations Program,"54 FR 28997; July 10, 1989",nara-live,eo-1989-bush.html
12682,1989-07-07,Commission on Alternative Utilization of Military Facilities,"54 FR 29315; July 11, 1989",nara-live,eo-1989-bush.html
12683,1989-07-21,Prescribing regulations relating to certain travel time of members of the Uniformed Services called to active duty,"54 FR 31162; July 26, 1989",nara-live,eo-1989-bush.html
12684,1989-07-27,Conforming the Central Intelligence Agency and Civil Service Retirement and Disability Systems,"54 FR 31643; July 31, 1989",nara-live,eo-1989-bush.html
12685,1989-07-28,Noncompetitive conversion of personal assistants to employees with disabilities,"54 FR 31796; August 1, 1989",nara-live,eo-1989-bush.html
12686,1989-08-04,President's Commission on Aviation Security and Terrorism,"54 FR 32629; August 9, 1989",nara-live,eo-1989-bush.html
12687,1989-08-15,President's Education Policy Advisory Committee,"54 FR 34127; August 18, 1989",nara-live,eo-1989-bush.html
12688,1989-08-15,"Transfer of Authority Choctawhatchee National Forest, Florida","54 FR 34129; August 18, 1989",nara-live,eo-1989-bush.html
12689,1989-08-16,Debarment and Suspension,"54 FR 34131; August 18, 1989",nara-live,eo-1989-bush.html
12690,1989-09-20,Providing for the restoration of law and order in the Virgin Islands,"54 FR 39153; September 22, 1989",nara-live,eo-1989-bush.html
12691,1989-09-23,President's Advisory Committee on the Points of Light Initiative Foundation,"54 FR 39719; September 27, 1989",nara-live,eo-1989-bush.html
12692,1989-09-29,Continuance of Certain Federal Advisory Committees,"54 FR 40627; October 3, 1989",nara-live,eo-1989-bush.html
12693,1989-09-29,Exclusion of the Defense Mapping Agency Reston Center and Elements under the Joint Special Operations Command from the Federal Labor-Management Relations Program,"54 FR 40629; October 3, 1989",nara-live,eo-1989-bush.html
12694,1989-10-11,Amending Executive Order No. 12345,"54 FR 42285; October 13, 1989",nara-live,eo-1989-bush.html
12695,1989-11-01,Delegation of Debt Relief Authority,"54 FR 46589; November 3, 1989",nara-live,eo-1989-bush.html
12696,1989-11-13,President's Drug Advisory Council,"54 FR 47507; November 15, 1989",nara-live,eo-1989-bush.html
12697,1989-12-22,Extending the National Commission on Superconductivity,"54 FR 53037; December 27, 1989",nara-live,eo-1989-bush.html
12698,1989-12-23,Adjustments of certain rates of pay and allowances,"54 FR 53473; December 28, 1989",nara-live,eo-1989-bush.html
12699,1990-01-05,Seismic safety of Federal and Federally assisted or regulated new building construction,"55 FR 835; January 9, 1990",nara-live,eo-1990.html
