eo_number,route_not_found,title,signing_date_text
8248,False,Establishing the divisions of the Executive Office of the President and defining their functions and duties,Sept. 8
8284,True,,
9830,False,Amending the Civil Service Rules and providing for Federal personnel administration,Feb. 24
9865,False,Providing for the protection abroad of inventions resulting from research financed by the Government,June 14
10000,False,Regulations governing additional compensation and credit granted certain employees of the Federal Government serving outside the United States,Sept. 16
10096,False,Providing for a uniform patent policy for the Government with respect to inventions made by Government employees and for the administration of such policy,Jan. 23
10122,False,"Regulations governing payment of disability retirement pay, hospitalization, and re-examination of members and former members of the uniformed services",Apr. 14
10253,False,Providing for the improvement of the work of Federal executive agencies with respect to statistical information,June 11
10355,False,Delegating to the Secretary of the Interior the authority of the President to withdraw or reserve lands of the United States for public purposes,May 26
10450,False,Security requirements for Government employment,Apr. 27
10485,False,Providing for the performance of certain functions heretofore performed by the President with respect to electric power and natural gas facilities located on the borders of the United States,Sept. 3
10488,False,"Providing for the issuance of regulations governing the purchase, custody, transfer, or sale of foreign exchange by the United States",Sept. 23
10521,False,Administration of scientific research by agencies of the Federal Government,Mar. 17
10530,False,Providing for the performance of certain functions vested in or subject to the approval of the President,May 10
10577,False,Amending the Civil Service Rules and authorizing a new appointment system for the competitive service,Nov. 23
10718,False,"Delegating to the Secretary of State authority to prescribe the rates or tariffs of fees for official services at United States embassies, legations, and consulates",June 27
10789,False,Authorizing agencies of the Government to exercise certain contracting authority in connection with national-defense functions and prescribing regulations governing the exercise of such authority,Nov. 14
10854,False,Extension of the application of the Federal Aviation Act of 1958,Nov. 27
10865,False,Safeguarding classified information within industry,Feb. 20
10982,False,"Administration of the act of September 26, 1961, relating to evacuation payments, assignments, and allotments, and other matters",Dec. 25
11048,False,Administration of Wake Island and Midway Island,Sept. 4
11063,False,Equal opportunity in housing,Nov. 20
11103,False,Providing for the appointment of former Peace Corps volunteers to the civilian career services,Apr. 10
11141,False,Declaring a public policy against discrimination on the basis of age,Feb. 12
11157,False,"Prescribing regulations relating to incentive pay for hazardous duty, special pay for sea duty and duty at certain places, basic allowances for subsistence and basic allowances for quarters",June 22
11161,False,Relating to certain relationships between the Department of Defense and the Federal Aviation Administration,July 7
11177,False,Providing for certain arrangements under the Columbia River Treaty,Sept. 16
11190,False,Providing for the screening of the Ready Reserve of the Armed Forces,Dec. 29
11219,False,Providing for the appointment in the competitive service of certain present and former officers and employees of the Foreign Service,May 6
11228,False,Providing for the performance by the Office of Personnel Management of certain functions vested in or subject to the approval of the President,June 14
11246,False,Equal employment opportunity,Sept. 24
11295,False,"Rules governing the granting, issuing, and verifying of United States passports",Aug. 5
11302,False,Prescribing regulations governing the allowance of travel expenses of claimants and beneficiaries of the Veterans' Administration and their attendants,Sept. 6
11478,False,Equal employment opportunity in the Federal Government,Aug. 8
11491,False,Labor-management relations in the Federal Service,Oct. 29
11514,False,Protection and enhancement of environmental quality,Mar. 5
11539,False,Delegations of authority to negotiate agreements and issue regulations limiting imports of certain meats,June 30
11541,False,Prescribing the duties of the Office of Management and Budget and the Domestic Council in the Executive Office of the President,July 1
11589,False,Delegating to the Office of Personnel Management certain authorities of the President under the Intergovernmental Personnel Act of 1970 and the Federal Civil Defense Act of 1950,Apr. 1
11593,False,Protection and enhancement of the cultural environment,May 13
11609,False,Delegating certain functions vested in the President to other officers of the Government,July 22
11623,False,Delegating to the Director of Selective Service authority to issue rules and regulations under the Military Selective Service Act,Oct. 12
11625,False,Prescribing additional arrangements for developing and coordinating a national program for minority business enterprise,Oct. 13
11644,False,Use of off-road vehicles on the public lands,Feb. 8
11735,False,"Assignment of functions under section 311 of the Federal Water Pollution Control Act, as amended",Aug. 3
11738,False,"Providing for administration of the Clean Air Act and the Federal Water Pollution Control Act with respect to Federal contracts, grants, or loans",Sept. 10
11758,False,Delegating authority of the President under the Rehabilitation Act of 1973,Jan. 15
11858,False,Foreign investment in the United States,May 7
11912,False,Delegation of authorities relating to energy policy and conservation,Apr. 13
11961,False,International investment and trade in services,Jan. 19
11964,False,"Implementation of the Convention on the International Regulations for Preventing Collisions at Sea, 1972",Jan. 19
11988,False,Floodplain management,May 24
11990,False,Protection of wetlands,May 24
11997,False,"Withholding of District of Columbia, State, city and county income or employment taxes",June 22
12002,False,"Administration of the Export Administration Act of 1969, as amended",July 7
12024,False,Relating to the transfer of certain advisory committee functions,Dec. 1
12038,False,Relating to certain functions transferred to the Secretary of Energy by the Department of Energy Organization Act,Feb. 3
12046,False,Relating to the transfer of telecommunications functions,Mar. 27
12048,False,International Communication Agency,Mar. 27
12058,False,Functions relating to nuclear non-proliferation,May 11
12067,False,Providing for coordination of Federal Equal Employment Opportunity programs,June 30
12072,False,Federal space management,Aug. 16
12086,False,Consolidation of contract compliance functions for equal employment opportunity,Oct. 5
12105,False,Garnishment of moneys payable to employees of executive agencies and the District of Columbia,Dec. 19
12106,False,Transfer of certain equal employment enforcement functions,Dec. 28
12107,False,Relating to the Civil Service Commission and labor-management in the Federal Service,Dec. 28
12109,False,Federal physicians comparability allowance,Dec. 28
12114,False,Environmental effects abroad of major Federal actions,Jan. 4
12127,False,Federal Emergency Management Agency,Mar. 31
12137,False,The Peace Corps,May 16
12138,False,"Creating a National Women's Business Enterprise Policy and prescribing arrangements for developing, coordinating and implementing a national program for women's business enterprise",May 18
12144,False,Transfer of certain equal pay and age discrimination in employment enforcement functions,June 22
12148,False,Federal emergency management,July 20
12163,False,Administration of foreign assistance and related functions,Sept. 29
12188,False,International trade functions,Jan. 2
12191,False,Federal facility ridesharing program,Feb. 1
12196,False,Occupational safety and health programs for Federal employees,Feb. 26
12214,False,Administration of the Export Administration Act of 1979,May 2
12215,False,Delegation of Panama Canal functions,May 27
12220,False,Agricultural trade development,June 27
12234,False,Enforcement of the Convention for the Safety of Life at Sea,Sept. 3
12241,False,National Contingency Plan,Sept. 29
12250,False,Leadership and Coordination of Nondiscrimination Laws,Nov. 2
12291,False,Federal regulation,Feb. 17
12318,False,Statistical policy functions,Aug. 21
12333,False,United States intelligence activities,Dec. 4
12334,False,President's Intelligence Oversight Board,Dec. 4
12353,False,Charitable fund-raising,Mar. 23
12356,False,National security information,Apr. 2
12364,False,The Presidential Management Intern Program,May 24
12372,False,Intergovernmental review of Federal programs,July 14
12411,False,Government work space management reforms,Mar. 29
12432,False,Minority business enterprise development,July 14
12445,False,Certification of containers and vehicles for use in international transport,Oct. 17
12472,False,Assignment of national security and emergency preparedness telecommunications functions,Apr. 3
12473,False,"Manual for Courts-Martial, United States, 1984",Apr. 13
12504,False,Protection of semiconductor chip products,Jan. 31
12512,False,Federal real property management,Apr. 29
12544,False,Blocking Libyan Government property in the United States or held by U.S. persons,Jan. 8
12549,False,Debarment and suspension,Feb. 18
12564,False,Drug-free Federal workplace,Sept. 15
