topic,assignments,agencies,in_text_pct,top_agency_share_pct,proposed_band
reporting and recordkeeping requirements,55448,89,0.09,29.77,procedural
incorporation by reference,34920,30,2.98,68.55,procedural
administrative practice and procedure,23538,121,0.15,26.62,procedural
aircraft,21656,11,12.53,99.21,substantive
aviation safety,21565,7,7.49,99.68,substantive
safety,20363,18,10.99,97.77,substantive
air transportation,19688,7,0.04,99.69,substantive
environmental protection,19593,24,45.52,96.95,substantive
intergovernmental relations,13842,38,0.0,80.95,substantive
air pollution control,13715,10,8.01,99.79,substantive
navigation (air),8639,3,0.0,99.75,substantive
airspace,7475,1,86.88,100.0,substantive
ozone,7411,3,43.89,99.96,substantive
navigation (water),7389,8,0.0,84.11,substantive
marine safety,7328,9,1.43,85.25,substantive
waterways,7088,9,2.09,85.67,substantive
penalties,6656,54,12.62,21.89,procedural
security measures,6627,23,0.48,76.72,substantive
volatile organic compounds,6605,2,12.76,99.98,substantive
imports,6339,18,1.88,31.53,substantive
harbors,5746,8,0.61,88.46,substantive
nitrogen dioxide,5705,1,4.7,100.0,substantive
particulate matter,5555,1,31.14,100.0,substantive
exports,4764,19,5.98,40.91,substantive
transportation,3920,16,7.98,50.54,substantive
sulfur oxides,3758,1,0.35,100.0,substantive
government procurement,3753,29,1.65,67.52,substantive
agricultural commodities,3574,9,6.44,79.16,substantive
pesticides and pests,3011,6,0.0,97.87,substantive
carbon monoxide,2984,2,9.25,99.97,substantive
fisheries,2703,6,89.35,99.37,substantive
hazardous substances,2627,16,30.68,90.18,substantive
claims,2518,62,14.89,29.59,procedural
income taxes,2441,25,0.94,93.28,substantive
lead,2424,3,14.15,99.92,substantive
confidential business information,2283,41,0.61,32.68,procedural
fishing,2237,3,62.76,96.29,substantive
government employees,2147,74,0.84,36.61,procedural
labeling,2115,15,16.17,28.42,substantive
radio,2066,10,68.44,93.13,substantive
hazardous waste,1989,8,36.35,78.53,substantive
privacy,1966,87,49.54,18.77,procedural
freedom of information,1965,105,23.92,17.2,procedural
marketing agreements,1923,2,0.31,99.84,substantive
endangered and threatened species,1888,8,6.73,83.37,substantive
securities,1814,22,53.47,50.66,substantive
"banks, banking",1760,17,0.0,33.35,substantive
chemicals,1750,8,9.09,90.17,substantive
flood insurance,1728,12,94.44,80.38,substantive
airports,1714,12,80.4,93.17,substantive
health facilities,1671,13,0.0,65.65,substantive
consumer protection,1592,23,14.89,21.17,substantive
air traffic control,1533,3,0.85,99.87,substantive
water pollution control,1525,17,0.79,84.72,substantive
government contracts,1452,37,1.58,23.97,procedural
health care,1362,14,19.09,45.96,substantive
health professions,1336,11,0.15,52.69,substantive
medical devices,1322,8,40.54,76.1,substantive
advertising,1271,21,5.59,30.06,substantive
small businesses,1269,24,5.83,37.98,substantive
individuals with disabilities,1268,45,3.94,14.75,procedural
pensions,1225,11,0.57,30.37,substantive
water supply,1191,13,0.67,90.85,substantive
veterans,1178,18,88.88,84.47,substantive
organization and functions (government agencies),1172,56,0.0,10.58,procedural
indians,1170,24,1.79,29.74,substantive
bridges,1156,4,20.59,76.47,substantive
investigations,1133,42,8.12,13.59,procedural
television,1128,10,79.7,92.2,substantive
wildlife,1119,7,69.35,69.71,substantive
credit,1104,26,39.95,25.91,substantive
grant programs-health,1097,15,0.0,56.79,substantive
indians-lands,1049,14,0.0,59.77,substantive
medicare,1038,5,87.96,98.07,substantive
nitrogen oxides,1007,1,18.87,100.0,substantive
telecommunications,1004,19,25.2,87.45,substantive
animal drugs,1002,3,93.81,99.6,substantive
hazardous materials transportation,982,8,2.04,48.88,substantive
rural areas,960,16,3.75,40.94,substantive
motor vehicle safety,958,5,48.23,96.56,substantive
quarantine,955,4,50.58,96.54,substantive
accounting,949,42,8.32,16.65,procedural
wages,910,41,2.53,38.79,procedural
energy conservation,888,13,74.32,81.64,substantive
law enforcement,843,20,4.27,22.18,substantive
authority delegations (government agencies),842,30,0.0,14.01,procedural
alaska,841,12,73.25,53.86,substantive
packaging and containers,837,10,0.0,28.91,substantive
brokers,833,14,17.17,26.53,substantive
surety bonds,832,18,0.36,22.6,substantive
health insurance,831,5,29.6,46.57,substantive
communications common carriers,827,3,0.12,99.4,substantive
flood plains,811,9,0.0,80.64,substantive
underground mining,811,4,2.1,94.7,substantive
superfund,808,2,84.65,99.5,substantive
occupational safety and health,803,10,12.95,35.99,substantive
disability benefits,799,10,4.13,45.31,substantive
surface mining,799,3,96.12,98.12,substantive
vessels,797,14,35.01,37.52,substantive
aged,781,25,2.18,25.48,substantive
civil rights,776,50,7.73,12.76,procedural
mortgages,769,15,12.48,21.46,substantive
