volume,corpus_max_page,source_tables,n_citations
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,496,timetables,1
11,3158,timetables,2
12,49172,timetables,5
13,,,
14,,,
15,3177,legal_authorities,4
16,,,
17,,,
18,2489,legal_authorities,2
19,4981,legal_authorities,2
20,2747,legal_authorities,1
21,,,
22,,,
23,,,
24,9565,legal_authorities,2
25,,,
26,7315,legal_authorities,34
27,11527,legal_authorities,7
28,,,
29,,,
30,12319,legal_authorities,51
31,,,
32,14303,legal_authorities,36
33,12426,legal_authorities,5
34,13302,timetables,4
35,10737,legal_authorities,12
36,13747,legal_authorities,117
37,12255,legal_authorities,2
38,31260,timetables,39
39,33103,timetables+legal_authorities,66
40,57292,timetables+legal_authorities,100
41,52669,timetables+legal_authorities,148
42,62462,timetables+legal_authorities,65
43,59465,timetables+legal_authorities,203
44,75666,timetables+legal_authorities,358
45,83268,timetables+legal_authorities,280
46,59941,timetables+legal_authorities,199
47,55075,timetables+legal_authorities,632
48,57452,timetables+legal_authorities,293
49,50745,timetables+legal_authorities,137
50,52952,timetables+legal_authorities,475
51,61639,timetables,513
52,82682,timetables+legal_authorities,832
53,53340,timetables,826
54,53660,timetables+legal_authorities,1213
55,53610,timetables+legal_authorities,1641
56,67364,timetables+legal_authorities,2619
57,80660,timetables+legal_authorities,3454
58,87939,timetables+legal_authorities,5232
