volume,year,last_page,source,evidence_id,evidence_date,source_url,fetched_at,source_sha256,corpus_lower_bound_1_58,note
1,1936,2619,govinfo-mods-issue-metadata,FR-1936-12-31,1936-12,https://www.govinfo.gov/metadata/pkg/FR-1936-12-31/mods.xml,2026-08-23T14:38:06.296359+00:00,a6be5b0dc77b878eb728819ea12828678baca0ade7073cd7bd7a8dd5368a6c56,,
2,1937,3450,govinfo-mods-issue-metadata,FR-1937-12-31,1937-12,https://www.govinfo.gov/metadata/pkg/FR-1937-12-31/mods.xml,2026-08-23T14:38:06.812247+00:00,50cb83c9af63c27a8053acf8551485d6e3e530ee936c621e9440156cd4174e2e,,
3,1938,3194,govinfo-mods-issue-metadata,FR-1938-12-31,1938-12,https://www.govinfo.gov/metadata/pkg/FR-1938-12-31/mods.xml,2026-08-23T14:38:07.323623+00:00,633e5c0f8fc851f1d70e89715afc50e729ef319730836ca901d2fc43cb51b381,,
4,1939,5007,govinfo-mods-issue-metadata,FR-1939-12-30,1939-12,https://www.govinfo.gov/metadata/pkg/FR-1939-12-30/mods.xml,2026-08-23T14:38:07.837883+00:00,0ebc48fefe58b5ee2026b9c9ed033fc214af6e02b4b6aa3832cc9bb0e8a9caeb,,
5,1940,5307,govinfo-mods-issue-metadata,FR-1940-12-31,1940-12,https://www.govinfo.gov/metadata/pkg/FR-1940-12-31/mods.xml,2026-08-23T14:38:08.337677+00:00,75cfe433ea6d016615bb82bfa212cd7a3775c11109f0bf85ec0bae8a4e214a8a,,
6,1941,6877,govinfo-mods-issue-metadata,FR-1941-12-31,1941-12,https://www.govinfo.gov/metadata/pkg/FR-1941-12-31/mods.xml,2026-08-23T14:38:08.846958+00:00,ac63621f567858457f672231a4be04fdc5d74a59264a36df9b7953cf00236cd2,,
7,1942,11134,govinfo-mods-issue-metadata,FR-1942-12-31,1942-12,https://www.govinfo.gov/metadata/pkg/FR-1942-12-31/mods.xml,2026-08-23T14:38:09.357299+00:00,b5b2e7982a19199ee9f1956353f86f8429295579c346f8020d7ed4c9d3dda176,,
8,1943,17553,govinfo-mods-issue-metadata,FR-1943-12-31,1943-12,https://www.govinfo.gov/metadata/pkg/FR-1943-12-31/mods.xml,2026-08-23T14:38:09.895140+00:00,154ef3a0aecccbc575e5d99f2580eea61e6c32ced78b9a329a50fc85cd52a657,,
9,1944,15194,govinfo-mods-issue-metadata,FR-1944-12-30,1944-12,https://www.govinfo.gov/metadata/pkg/FR-1944-12-30/mods.xml,2026-08-23T14:38:10.402446+00:00,3edcd6f92d2e8c1d46a06e2336192d7439fb142ca0a7958a4a8669c2be60b382,,
10,1945,15508,govinfo-mods-issue-metadata,FR-1945-12-29,1945-12,https://www.govinfo.gov/metadata/pkg/FR-1945-12-29/mods.xml,2026-08-23T14:38:10.918100+00:00,1c72fc812db74284af870408eb383c502042beb6ce7824021e9f1c7ec8dda677,496,
11,1946,14736,govinfo-mods-issue-metadata,FR-1946-12-31,1946-12,https://www.govinfo.gov/metadata/pkg/FR-1946-12-31/mods.xml,2026-08-23T14:38:11.426248+00:00,d54c37aa246327454c3886f762ffad56bdb5d7e4727964cd30c49c1d7192fc35,3158,
12,1947,8902,govinfo-mods-issue-metadata,FR-1947-12-31,1947-12,https://www.govinfo.gov/metadata/pkg/FR-1947-12-31/mods.xml,2026-08-23T14:38:12.109611+00:00,3d6d8bc620923b02d4880071287903abba075e2ef7cc0a5a280bdc2615a5dbfa,49172,corpus cites a HIGHER page (49172) than the publisher last page (8902) -- corpus citation is itself suspect
13,1948,9608,govinfo-mods-issue-metadata,FR-1948-12-31,1948-12,https://www.govinfo.gov/metadata/pkg/FR-1948-12-31/mods.xml,2026-08-23T14:38:12.608876+00:00,d3a33681457aa26d81407de8629e0e038d2183827f6291eeaed7ea514eea8987,,
14,1949,7952,govinfo-mods-issue-metadata,FR-1949-12-31,1949-12,https://www.govinfo.gov/metadata/pkg/FR-1949-12-31/mods.xml,2026-08-23T14:38:13.107176+00:00,a29c042763936ac2e254af419995ef42bddf9ce0204b0b87ba9717a10c98f7a3,,
15,1950,9562,govinfo-mods-issue-metadata,FR-1950-12-30,1950-12,https://www.govinfo.gov/metadata/pkg/FR-1950-12-30/mods.xml,2026-08-23T14:38:13.619211+00:00,3a7a2dc9b69c3b2df894f80052656fe9a1ade91d23299a064419cab2dd6aa10a,3177,
