volume,year,last_page,evidence_issue,evidence_source,sitemap_url,sitemap_sha256,mods_url,mods_sha256,fetched_at,mods_volume_stated,mods_digital_origin
1,1936,2619,FR-1936-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1936_sitemap.xml,831cfa3cdc5af5b2f5548d577f304767ca7bcd1beb7ecf967c20dbf503917f18,https://www.govinfo.gov/metadata/pkg/FR-1936-12-31/mods.xml,a6be5b0dc77b878eb728819ea12828678baca0ade7073cd7bd7a8dd5368a6c56,2026-08-23T14:38:06.296359+00:00,1,reformatted digital
2,1937,3450,FR-1937-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1937_sitemap.xml,cddfce77b545112eea385cc73de30e982326b1251e7906ac06b1af2be03f14a6,https://www.govinfo.gov/metadata/pkg/FR-1937-12-31/mods.xml,50cb83c9af63c27a8053acf8551485d6e3e530ee936c621e9440156cd4174e2e,2026-08-23T14:38:06.812247+00:00,2,reformatted digital
3,1938,3194,FR-1938-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1938_sitemap.xml,3da0ff3cc98d97df129fa797e5416b0ddf67c07e710c6e1f010d67e47e3b1c31,https://www.govinfo.gov/metadata/pkg/FR-1938-12-31/mods.xml,633e5c0f8fc851f1d70e89715afc50e729ef319730836ca901d2fc43cb51b381,2026-08-23T14:38:07.323623+00:00,3,reformatted digital
4,1939,5007,FR-1939-12-30,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1939_sitemap.xml,e2521cea9ea378a1e31e99209506d89a4903bb13cd5b70c66a857889a96c3b6a,https://www.govinfo.gov/metadata/pkg/FR-1939-12-30/mods.xml,0ebc48fefe58b5ee2026b9c9ed033fc214af6e02b4b6aa3832cc9bb0e8a9caeb,2026-08-23T14:38:07.837883+00:00,4,reformatted digital
5,1940,5307,FR-1940-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1940_sitemap.xml,286bd72d55adde790295d7759db8c66800abf78ccff684ac3ed0370180b3f38d,https://www.govinfo.gov/metadata/pkg/FR-1940-12-31/mods.xml,75cfe433ea6d016615bb82bfa212cd7a3775c11109f0bf85ec0bae8a4e214a8a,2026-08-23T14:38:08.337677+00:00,5,reformatted digital
6,1941,6877,FR-1941-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1941_sitemap.xml,a3287f866e44e26a1593e2ff9d467ced62fc44314389c693607c40d2413de15a,https://www.govinfo.gov/metadata/pkg/FR-1941-12-31/mods.xml,ac63621f567858457f672231a4be04fdc5d74a59264a36df9b7953cf00236cd2,2026-08-23T14:38:08.846958+00:00,6,reformatted digital
7,1942,11134,FR-1942-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1942_sitemap.xml,3e5d273beeff4873e5e2d440186d0002e0bc59b2942bef98825de094b45646b3,https://www.govinfo.gov/metadata/pkg/FR-1942-12-31/mods.xml,b5b2e7982a19199ee9f1956353f86f8429295579c346f8020d7ed4c9d3dda176,2026-08-23T14:38:09.357299+00:00,7,reformatted digital
8,1943,17553,FR-1943-12-31,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1943_sitemap.xml,335e84a20216b811bd48956c1c7291bf0c51d075600598dfbdc672663f3eb92b,https://www.govinfo.gov/metadata/pkg/FR-1943-12-31/mods.xml,154ef3a0aecccbc575e5d99f2580eea61e6c32ced78b9a329a50fc85cd52a657,2026-08-23T14:38:09.895140+00:00,8,reformatted digital
9,1944,15194,FR-1944-12-30,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1944_sitemap.xml,12f1ada18b9d4039b828b5f048caecaac61907547c1e810e9ea60db68941c478,https://www.govinfo.gov/metadata/pkg/FR-1944-12-30/mods.xml,3edcd6f92d2e8c1d46a06e2336192d7439fb142ca0a7958a4a8669c2be60b382,2026-08-23T14:38:10.402446+00:00,9,reformatted digital
10,1945,15508,FR-1945-12-29,govinfo-mods,https://www.govinfo.gov/sitemap/FR_1945_sitemap.xml,8fd03b1458efa26b1c11bfb079981460e57040a84c23b3e868146085c2352e11,https://www.govinfo.gov/metadata/pkg/FR-1945-12-29/mods.xml,1c72fc812db74284af870408eb383c502042beb6ce7824021e9f1c7ec8dda677,2026-08-23T14:38:10.918100+00:00,10,reformatted digital
