volume,year,last_page,evidence_document_number,evidence_publication_date,source_url,fetched_at,source_sha256
59,1994,67119,94-32043,1994-12-28,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=1994-12-15&conditions%5Bpublication_date%5D%5Blte%5D=1994-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:12.187550+00:00,d3f9e1075ca9557742b6fcf808d5750494a3f91c1b1af9a8e806316461f2ef35
60,1995,67518,95-31466,1995-12-29,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=1995-12-15&conditions%5Bpublication_date%5D%5Blte%5D=1995-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:13.167914+00:00,f485488dd36dbd7828412e981f2cdef10537ab464c58ef8d5d33d9cebaf66ce2
61,1996,69366,96-32972,1996-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=1996-12-15&conditions%5Bpublication_date%5D%5Blte%5D=1996-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:14.283988+00:00,f7ed2d184707336a642a339ff4a66a2b04f12fef17b07957bf9bd049bddbdc91
62,1997,68530,97-34224,1997-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=1997-12-15&conditions%5Bpublication_date%5D%5Blte%5D=1997-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:15.213061+00:00,db260708e0748f5fd9847195b192ab3a4850f131de66e0794a7cd079213cae9c
63,1998,72356,98-34358,1998-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=1998-12-15&conditions%5Bpublication_date%5D%5Blte%5D=1998-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:16.099473+00:00,661cedd7323d0e5edaa95ac2e63b64dee7db718862c5d7b1ef97ca139d96b1d8
64,1999,73879,99-33637,1999-12-30,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=1999-12-15&conditions%5Bpublication_date%5D%5Blte%5D=1999-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:17.191450+00:00,e46f643f2e0c835f3c5d3542d18f1464ea66f325e4cd372e3d57696726a5ef06
65,2000,83293,00-33153,2000-12-29,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2000-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2000-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:18.208073+00:00,5280a8b9833b96c7b1a4d0ae164418b2e35a6f77596dd79d0ae7880d3bebaea3
66,2001,67702,01-32254,2001-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2001-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2001-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:19.489985+00:00,c4f65c6cc9108e46fb076b5eebcc74154746fe7c3c96888831be0c154b404f59
67,2002,80332,02-33008,2002-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2002-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2002-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:20.573357+00:00,022558ff1e062770e993ed5e89a46d4079385e74f019a39f651aea579d9992a4
68,2003,75795,03-32320,2003-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2003-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2003-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:21.758656+00:00,98c817f4c25bd5d8e5bf7057d041f5fb240f2a05dd6f2dee8b94e0b7b8be6c9b
69,2004,78851,04-28732,2004-12-30,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2004-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2004-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:22.814400+00:00,219f2b7d176854632c67765b75b78edde19c4642b39c65255912209c754befba
70,2005,77752,05-24654,2005-12-30,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2005-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2005-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:24.052875+00:00,b96dbf877230ce03552ad4ee16ab475aa1c017d8d489e2fdfe0d30b1914f9b1d
71,2006,78724,06-9961,2006-12-29,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2006-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2006-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:25.024786+00:00,e37974ac8353004fce25a303be59b2924e8bf033da63e90753c1dada26d16856
72,2007,74408,E7-25334,2007-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2007-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2007-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:26.143767+00:00,62cf1cb0d67b9ca57f069df7af72586564940f2daff0c601bd0930dceeb82ef8
73,2008,80700,E8-30669,2008-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2008-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2008-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:27.224736+00:00,9f5a059b93ce6153fdde14927108b2e8d4458425e5bc1ab544290d7bfb1c9be0
74,2009,69676,E9-30967,2009-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2009-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2009-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:28.607723+00:00,aaced6538fb05450b66f2a4635823bda1d007b4cb7757d4f0ce7d3d6638bc2e5
75,2010,82589,2010-33169,2010-12-30,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2010-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2010-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:29.573654+00:00,0502d4281ae04906f9a73421b1075bfc3fa22fa631983a14fdce0c0965e9a0d4
76,2011,82419,2011-33515,2011-12-30,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2011-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2011-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:30.716827+00:00,7ee5c58ddaae21484e0904e1817a5d31cdf2b75be33b8808a2c982cc5422f162
77,2012,77249,2012-31574,2012-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2012-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2012-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:32.028239+00:00,8949530269937f910d39470ef82de0457e911aa8dbee4b2bbfdd515f7ec277f0
78,2013,80462,2013-31445,2013-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2013-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2013-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:33.420845+00:00,5150f8473647afc979faf5bcc12f7991c523436d06b29e318f3bcdfab3d0cbd5
79,2014,79066,2014-30710,2014-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2014-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2014-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:34.687860+00:00,adbe92c736dc6f7e52b3e5a11cb2a15c0cc13c993521e3512588e647202afb4d
80,2015,82035,2015-32517,2015-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2015-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2015-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:35.858135+00:00,778ab5a5e95d114ebc950eab48710673425ac7851ebc5d8240acce05f2651c28
81,2016,97110,2016-31875,2016-12-30,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2016-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2016-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:37.134412+00:00,c8a4792ec04cf65cce77c54bd233f1c2bfb941dcdbfdb4e2c1ef815c50b7d461
82,2017,61949,2017-28211,2017-12-29,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2017-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2017-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:38.490448+00:00,cc21176fe376c0702b0cdf1199fa43e7c665471c10a4edcfae07b678384b1789
83,2018,68082,2018-27981,2018-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2018-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2018-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:39.605558+00:00,2d2ad5fa09dca1034ab9599a383035e683fa002e6b2a61e6e595ca19fa28eaa0
84,2019,72564,2019-27829,2019-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2019-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2019-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:40.883956+00:00,f44a0a7d425e9e96190de6a20dba2297b7c83ec14004575c7a4fd99abe6135ed
85,2020,87351,2020-28871,2020-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2020-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2020-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:42.091057+00:00,ba3260288192cb3ceab6ef604f13bdd9788767eaecd6c2318de1979eab343d35
86,2021,74531,2021-28083,2021-12-30,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2021-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2021-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:43.638640+00:00,6ac47bdc6262bf0b20f77c20aa6568d19d17f6b51936fbef1aa8fb13bc04afda
87,2022,80756,2022-26499,2022-12-30,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2022-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2022-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:45.008234+00:00,6d93fbb1b86d8e77d32b3e4f7e5171cd3f97a2f9ab3e4efdfd3169f441dfaf42
88,2023,90402,2023-28488,2023-12-29,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2023-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2023-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:46.442668+00:00,46779495eafef36b08034688d07f66dd7ec0943695bbc2c19976151f624fff0d
89,2024,107261,2024-30593,2024-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2024-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2024-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:47.840242+00:00,fb5f0051e7e7807e719dd84efaf4979d7a8400dfbd3f088513e36522c3688a90
