usc_title,usc_section,edition_year
12,1,2010
12,1141j,2010
12,1424,2010
12,1426,2010
12,1427,2010
12,1429,2010
12,1430,2010
12,1430b,2010
12,1430c,2010
12,1431,2010
12,1432,2010
12,1435,2010
12,1436,2010
12,1440,2010
12,1440a,2010
12,1441,2010
12,1442,2010
12,1446,2010
12,1452,2010
12,1455,2010
12,1462,2010
12,1462a,2010
12,1463,2010
12,1464,2010
12,1467a,2010
12,1468,2010
12,161,2010
12,1701,2010
12,1701j-3,2010
12,1701q,2010
12,1701u,2010
12,1701x,2010
12,1702,2010
12,1703,2010
12,1707,2010
12,1709,2010
12,1710,2010
12,1715,2010
12,1715b,2010
12,1715n,2010
12,1715s,2010
12,1715u,2010
12,1715y,2010
12,1715z,2010
12,1715z-1,2010
12,1715z-13a,2010
12,1715z-16,2010
12,1715z-20,2010
12,1719,2010
12,1723a,2010
12,1735f-19,2010
12,1752,2010
12,1753,2010
12,1755,2010
12,1756,2010
12,1757,2010
12,1757a,2010
12,1758,2010
12,1759,2010
12,1761,2010
12,1761a,2010
12,1761b,2010
12,1762,2010
12,1765,2010
12,1766,2010
12,1767,2010
12,1768,2010
12,1781,2010
12,1782,2010
12,1784,2010
12,1785,2010
12,1786,2010
12,1787,2010
12,1789,2010
12,1789a,2010
12,1790d,2010
12,1811,2010
12,1813,2010
12,1814,2010
12,1815,2010
12,1816,2010
12,1817,2010
12,1818,2010
12,1819,2010
12,1820,2010
12,1821,2010
12,1823,2010
12,1828,2010
12,1829,2010
12,1829b,2010
12,1831,2010
12,1831d,2010
12,1831f,2010
12,1831m,2010
12,1831n,2010
12,1831o,2010
12,1831p-1,2010
12,1831u,2010
12,1833e,2010
12,1835,2010
12,1835a,2010
12,1842,2010
12,1867,2010
12,1881,2010
12,1951,2010
12,2011,2010
12,2012,2010
12,2013,2010
12,2015,2010
12,2017,2010
12,2018,2010
12,2019,2010
12,2020,2010
12,2021,2010
12,2071,2010
12,2073,2010
12,208,2010
12,2093,2010
12,21,2010
12,2122,2010
12,2128,2010
12,2132,2010
12,2146,2010
12,215,2010
12,2154,2010
12,2154a,2010
12,215a,2010
12,2160,2010
12,2183,2010
12,2199,2010
12,22,2010
12,2200,2010
12,2202b,2010
12,2211,2010
12,2243,2010
12,2252,2010
12,2254,2010
12,2278b,2010
12,2278b-6,2010
12,2279aa,2010
12,2279aa-10,2010
12,2279aa-11,2010
12,2279aa-12,2010
12,2279aa-3,2010
12,2279aa-4,2010
12,2279aa-6,2010
12,2279bb,2010
12,24,2010
12,24a,2010
12,26,2010
12,2601,2010
12,265,2010
12,266,2010
12,27,2010
12,2801,2010
12,2804,2010
12,29,2010
12,2901,2010
12,30,2010
12,3101,2010
12,3103,2010
12,3108,2010
12,3207,2010
12,321,2010
12,324,2010
12,325,2010
12,3331,2010
12,3335,2010
12,335,2010
12,3401,2010
12,342,2010
12,36,2010
12,371,2010
12,375a,2010
12,375b,2010
12,3803,2010
12,3806,2010
12,3901,2010
12,3907,2010
12,3909,2010
12,391,2010
12,4301,2010
12,4311,2010
12,4501,2010
12,4502,2010
12,4503,2010
12,4511,2010
12,4513,2010
12,4513b,2010
12,4514,2010
12,4517,2010
12,4518,2010
12,4519,2010
12,4520,2010
12,4522,2010
12,4526,2010
12,4541,2010
12,4561,2010
12,4565,2010
12,4568,2010
12,4581,2010
12,4585,2010
12,4603,2010
12,461,2010
12,4612,2010
12,4617,2010
12,4624,2010
12,4631,2010
12,4632,2010
12,4636,2010
12,4639,2010
12,4642,2010
12,4802,2010
12,481,2010
12,482,2010
12,484,2010
12,501,2010
12,5101,2010
12,5105,2010
12,5221,2010
12,602,2010
12,7,2010
12,71,2010
12,84,2010
12,90,2010
12,92,2010
12,92a,2010
12,93,2010
12,93a,2010
13,141,2010
13,181,2010
13,301,2010
13,307,2010
13,4,2010
14,2,2010
14,85,2010
14,91,2010
33,1221,2012
33,1222,2012
33,1223,2012
33,1225,2012
33,1226,2012
33,1231,2012
33,1233,2012
33,1251,2012
33,1311,2012
33,1313,2012
33,1314,2012
33,1316,2012
33,1317,2012
33,1318,2012
33,1319,2012
33,1321,2012
33,1322,2012
33,1341,2012
33,1342,2012
33,1344,2012
33,1345,2012
33,1361,2012
33,1362,2012
33,1370,2012
33,1413,2012
33,1504,2012
33,1902,2012
33,1903,2012
33,1904,2012
33,1908,2012
33,1909,2012
33,2030,2012
33,2035,2012
33,2071,2012
33,3601,2012
33,401,2012
33,403,2012
33,471,2012
33,494,2012
33,499,2012
33,502,2012
33,621,2012
33,939,2012
33,941,2012
35,102,2012
35,103,2012
35,119,2012
35,120,2012
35,123,2012
35,132,2012
35,135,2012
35,154,2012
35,2,2012
35,200,2012
35,207,2012
35,21,2012
35,23,2012
35,311,2012
35,32,2012
35,321,2012
35,329,2012
35,376,2012
35,41,2012
35,6,2012
38,101,2012
38,106,2012
38,111,2012
38,1114,2012
38,1117,2012
38,1118,2012
38,1155,2012
38,1311,2012
38,1312,2012
38,1318,2012
38,1702,2012
38,1703,2012
38,1705,2012
38,1708,2012
38,1710,2012
38,1712,2012
38,1712a,2012
38,1714,2012
38,1717,2012
38,1720,2012
38,1720g,2012
38,1721,2012
38,1722a,2012
38,1725,2012
38,1728,2012
38,1730,2012
38,1741,2012
38,1742,2012
38,1744,2012
38,1745,2012
38,1965,2012
38,1967,2012
38,1977,2012
38,2001,2012
38,2044,2012
38,2402,2012
38,2408,2012
38,2409,2012
