usc_title,edition_year,usc_section,rin,bucket
18,1995,5006,1120-AA25,4-genuine-era-mismatch
18,1995,5006,1120-AA26,4-genuine-era-mismatch
18,1995,5006,1120-AA34,4-genuine-era-mismatch
18,1995,5006,1120-AA37,4-genuine-era-mismatch
18,1995,5006,1120-AA38,4-genuine-era-mismatch
18,1995,4161,1120-AA42,4-genuine-era-mismatch
18,1995,5006,1120-AA42,4-genuine-era-mismatch
18,1995,4161,1120-AA03,4-genuine-era-mismatch
18,1995,5006,1120-AA03,4-genuine-era-mismatch
18,1995,5006,1120-AA11,4-genuine-era-mismatch
18,1995,5006,1120-AA14,4-genuine-era-mismatch
18,1995,5006,1120-AA15,4-genuine-era-mismatch
18,1995,5006,1120-AA17,4-genuine-era-mismatch
18,1995,5006,1120-AA19,4-genuine-era-mismatch
18,1995,5006,1120-AA20,4-genuine-era-mismatch
18,1995,5006,1120-AA22,4-genuine-era-mismatch
18,1995,5006,1120-AA23,4-genuine-era-mismatch
18,1995,5006,1120-AA28,4-genuine-era-mismatch
18,1995,4161,1120-AA29,4-genuine-era-mismatch
18,1995,4201,1120-AA29,4-genuine-era-mismatch
18,1995,4161,1120-AA31,4-genuine-era-mismatch
18,1995,5006,1120-AA31,4-genuine-era-mismatch
18,1995,5006,1120-AA33,4-genuine-era-mismatch
18,1995,5006,1120-AA35,4-genuine-era-mismatch
18,1995,4251,1120-AA36,4-genuine-era-mismatch
18,1995,5006,1120-AA36,4-genuine-era-mismatch
18,1995,5006,1120-AA39,4-genuine-era-mismatch
18,1995,5006,1120-AA41,4-genuine-era-mismatch
18,1995,5006,1120-AA43,4-genuine-era-mismatch
18,1995,5006,1120-AA44,4-genuine-era-mismatch
18,1995,4161,1120-AA45,4-genuine-era-mismatch
18,1995,5006,1120-AA45,4-genuine-era-mismatch
18,1995,5006,1120-AA46,4-genuine-era-mismatch
18,1995,4161,1120-AA47,4-genuine-era-mismatch
18,1995,5006,1120-AA47,4-genuine-era-mismatch
18,1995,5006,1120-AA48,4-genuine-era-mismatch
18,1995,4251,1120-AA16,4-genuine-era-mismatch
18,1995,5006,1120-AA16,4-genuine-era-mismatch
18,1995,5006,1120-AA30,4-genuine-era-mismatch
18,1995,5006,1120-AA40,4-genuine-era-mismatch
8,1995,1801,1215-AB05,4-genuine-era-mismatch
49,1995,1301,2105-AB63,4-genuine-era-mismatch
49,1995,1324,2105-AC29,4-genuine-era-mismatch
49,1995,1324,2105-AC29,4-genuine-era-mismatch
49,1995,1324,2105-AA40,4-genuine-era-mismatch
49,1995,1301,2105-AA78,4-genuine-era-mismatch
49,1995,1302,2105-AA78,4-genuine-era-mismatch
49,1995,1305,2105-AA78,4-genuine-era-mismatch
49,1995,1324,2105-AA78,4-genuine-era-mismatch
49,1995,1301,2105-AA88,4-genuine-era-mismatch
49,1995,1302,2105-AA88,4-genuine-era-mismatch
49,1995,1324,2105-AA88,4-genuine-era-mismatch
49,1995,1324,2105-AB58,4-genuine-era-mismatch
