usc_title,edition_year,n_rows
12,2010,1367
40,2002,194
10,1996,146
50,2015,141
38,2012,140
40,2003,136
33,2012,133
41,2010,124
50,2016,121
18,2003,112
49,1995,102
18,2002,99
18,2004,98
18,2000,97
41,2011,94
18,1999,91
18,1996,90
18,2001,89
40,2012,88
18,2005,88
10,2018,87
35,2012,86
18,2010,85
10,2019,84
18,2011,84
10,1997,82
18,1997,82
41,2012,80
18,2006,77
49,1996,77
18,2009,76
18,2008,74
18,2007,72
18,1998,68
18,2014,68
10,2022,68
10,2021,67
18,2015,64
40,2004,63
18,2013,63
10,1995,61
50,1996,59
49,1997,58
50,2017,58
18,2016,57
50,1997,52
46,2007,51
18,2017,50
50,2018,49
49,1998,49
40,2005,47
10,1998,47
50,2019,43
50,1998,43
49,2002,42
10,2020,40
49,1999,40
18,1995,40
18,2020,40
49,2000,40
40,2006,38
18,2021,37
46,1996,37
50,1999,37
46,1995,35
18,2022,35
18,2012,35
46,2009,33
50,1995,32
49,2001,32
18,2019,32
46,2006,32
46,2008,29
50,2024,28
18,2023,28
18,2024,28
10,1999,28
49,2018,28
50,2000,26
40,2007,26
50,2020,26
40,2008,25
49,2019,25
50,2021,24
50,2023,24
50,2022,24
46,2011,24
26,2017,23
49,2020,23
40,2013,22
40,2014,21
18,2018,20
40,2010,19
49,2021,19
10,2023,19
50,2025,18
40,2009,18
26,2002,17
46,2010,17
26,2010,16
26,2009,16
49,2022,15
40,2011,15
26,2008,15
28,1999,15
26,2001,15
26,2018,14
10,2007,14
10,2024,14
40,2017,14
50,2001,13
49,2003,13
49,2015,13
26,2003,13
26,2016,13
26,2011,12
26,2004,12
49,2023,12
26,1997,12
40,2015,12
10,2001,11
40,2019,11
10,2000,11
10,2008,10
40,2016,10
13,2010,10
26,2005,10
26,2019,10
46,2015,10
46,2014,9
40,2020,9
49,2012,9
46,1997,9
41,2015,9
40,2018,9
40,2024,9
49,2024,9
26,2000,8
41,2016,8
40,2021,8
46,2016,8
38,2007,8
46,2013,8
38,2001,8
20,1999,8
10,2017,8
41,2014,8
41,2018,8
10,2025,8
20,2021,8
49,2010,8
40,2022,8
20,2022,8
38,2006,7
41,2019,7
10,2002,7
40,2023,7
46,2020,7
41,2017,7
26,2006,7
14,2019,7
49,2007,6
49,2011,6
41,2020,6
20,2024,6
23,2001,6
38,2002,6
26,2007,6
46,2012,6
41,2023,6
14,2018,6
20,2019,6
20,1998,6
23,1999,5
5,1999,5
26,1996,5
38,2010,5
47,1996,5
10,2006,5
26,2020,5
49,2005,5
10,2009,5
46,2017,5
23,2000,5
5,2025,5
14,2010,5
26,2023,4
5,2011,4
38,2009,4
26,2022,4
49,2006,4
46,2003,4
5,2017,4
10,2003,4
10,2013,4
20,2020,4
26,2012,4
23,1998,4
10,2005,4
49,2004,4
10,2011,4
38,2008,4
49,2008,4
47,1997,4
35,1999,4
5,2016,4
20,2018,4
23,2002,4
5,2015,4
10,2014,4
20,2023,4
5,2018,4
10,2015,4
5,2014,4
10,2010,4
5,1996,4
46,2024,3
46,2021,3
46,2001,3
23,2020,3
46,2002,3
26,2021,3
16,1995,3
36,2017,3
49,2013,3
5,2019,3
5,2001,3
44,2015,3
5,2002,3
5,2010,3
5,1995,3
23,2019,3
5,2023,3
41,2024,3
5,2000,3
15,1997,2
26,2015,2
20,2016,2
23,2011,2
23,2007,2
20,2003,2
20,2001,2
39,2000,2
16,1996,2
41,2003,2
20,2004,2
41,2001,2
10,2004,2
17,2014,2
36,2018,2
38,2011,2
50,2003,2
10,2016,2
23,2006,2
8,2005,2
49,2009,2
26,1999,2
36,2016,2
8,2019,2
49,2017,2
17,2013,2
42,1997,2
41,2021,2
44,2022,2
47,1995,2
5,2022,2
44,2020,2
46,2000,2
26,1995,2
46,2023,2
26,2013,2
12,1996,2
7,2000,2
10,2012,2
6,2006,2
50,2002,2
33,1996,2
17,2015,2
26,2014,2
23,2003,2
35,2000,2
46,1998,2
17,2010,2
17,2008,2
44,2016,2
41,2013,2
38,2004,2
23,2021,2
5,1997,2
41,1998,2
15,1998,2
5,1998,2
47,1998,2
20,2002,2
31,2006,2
6,2007,2
12,1997,2
23,2017,2
50,2009,2
17,2009,2
42,1995,2
26,2024,2
49,2016,2
5,2005,2
6,2005,2
20,2017,2
23,2015,2
41,2025,2
40,2025,2
46,1999,2
47,1999,2
41,2002,2
41,2022,2
17,2011,2
49,2014,2
35,2001,2
20,2005,2
5,2021,2
44,2021,2
14,2013,2
36,2006,2
39,2001,2
20,2000,2
42,1998,2
39,2012,2
46,2004,2
44,2023,2
23,2018,2
14,2014,2
17,2012,2
8,2020,2
8,2004,2
38,2005,2
8,1995,1
33,1995,1
5,2006,1
26,1998,1
39,2002,1
14,2012,1
23,2012,1
46,2018,1
8,2018,1
8,2003,1
5,2009,1
6,2004,1
42,2001,1
12,1995,1
42,1999,1
5,2020,1
23,2016,1
8,1996,1
47,2000,1
50,2010,1
20,2006,1
38,2003,1
36,2015,1
15,1999,1
14,2020,1
35,1996,1
12,1998,1
44,2019,1
35,2002,1
23,2022,1
38,1996,1
7,2001,1
42,2025,1
44,2014,1
41,2000,1
36,2007,1
15,1996,1
8,2006,1
42,1996,1
44,2024,1
42,2002,1
50,2004,1
39,1999,1
23,1996,1
