edition,total_occurrences,LEGAL_AUTHORITY,ABSTRACT,CFR,ADDITIONAL_INFO,other_total,codepoints
199510,0,0,0,0,0,0,
199604,0,0,0,0,0,0,
199610,0,0,0,0,0,0,
199704,0,0,0,0,0,0,
199710,0,0,0,0,0,0,
199804,0,0,0,0,0,0,
199810,0,0,0,0,0,0,
199904,0,0,0,0,0,0,
199910,0,0,0,0,0,0,
200004,0,0,0,0,0,0,
200010,0,0,0,0,0,0,
200104,0,0,0,0,0,0,
200110,0,0,0,0,0,0,
200204,0,0,0,0,0,0,
200210,0,0,0,0,0,0,
200304,0,0,0,0,0,0,
200310,2,0,0,0,0,2,U+0092=1;U+0093=1
200404,330,0,313,0,2,15,U+0019=1;U+0091=6;U+0092=152;U+0093=77;U+0094=75;U+0096=16;U+0097=3
200410,415,0,321,0,2,92,U+0019=1;U+0085=8;U+0091=1;U+0092=208;U+0093=85;U+0094=84;U+0095=8;U+0096=18;U+0097=2
200504,405,0,376,0,2,27,U+0085=1;U+0091=3;U+0092=235;U+0093=74;U+0094=70;U+0096=21;U+0097=1
200510,697,0,500,0,4,193,U+0085=2;U+0091=5;U+0092=398;U+0093=125;U+0094=127;U+0095=2;U+0096=25;U+0097=13
200604,634,0,600,0,1,33,U+0085=1;U+0091=2;U+0092=364;U+0093=115;U+0094=117;U+0095=2;U+0096=22;U+0097=10;U+0099=1
200610,834,3,680,0,3,148,U+0085=1;U+0091=3;U+0092=456;U+0093=152;U+0094=152;U+0095=14;U+0096=38;U+0097=17;U+0099=1
200704,698,12,638,0,3,45,U+0085=1;U+0091=2;U+0092=421;U+0093=106;U+0094=104;U+0095=8;U+0096=45;U+0097=11
200710,1173,12,898,0,1,262,U+0091=6;U+0092=643;U+0093=207;U+0094=205;U+0095=32;U+0096=56;U+0097=23;U+0099=1
200804,912,7,851,0,1,53,U+0091=3;U+0092=503;U+0093=164;U+0094=164;U+0095=33;U+0096=27;U+0097=17;U+0099=1
200810,1192,8,978,0,21,185,U+0085=1;U+0091=5;U+0092=622;U+0093=219;U+0094=220;U+0095=33;U+0096=67;U+0097=24;U+0099=1
200904,989,2,901,0,33,53,U+0085=1;U+0091=5;U+0092=473;U+0093=200;U+0094=196;U+0095=31;U+0096=67;U+0097=15;U+0099=1
200910,1041,1,789,0,36,215,U+0085=6;U+0091=16;U+0092=509;U+0093=199;U+0094=198;U+0095=34;U+0096=59;U+0097=20
201004,579,2,497,0,30,50,U+0085=2;U+0091=3;U+0092=337;U+0093=88;U+0094=90;U+0096=43;U+0097=16
201010,1318,43,976,0,68,231,U+0085=8;U+0091=12;U+0092=571;U+0093=229;U+0094=235;U+0096=154;U+0097=109
201104,157,25,45,0,70,17,U+0085=7;U+0092=3;U+0093=1;U+0094=1;U+0095=2;U+0096=137;U+0097=6
201110,260,29,132,0,58,41,U+0085=7;U+0092=31;U+0093=11;U+0094=11;U+0095=51;U+0096=122;U+0097=27
2012,74,23,26,0,19,6,U+0095=9;U+0096=63;U+0097=2
201304,48,13,29,0,2,4,U+0085=1;U+0091=2;U+0095=10;U+0096=33;U+0097=1;U+0099=1
201310,39,8,12,0,2,17,U+0085=1;U+0091=2;U+0095=14;U+0096=21;U+0099=1
201404,19,7,11,0,0,1,U+0092=1;U+0096=18
201410,39,4,7,0,0,28,U+0091=16;U+0095=11;U+0096=12
201504,12,3,8,0,0,1,U+0091=2;U+0096=10
201510,0,0,0,0,0,0,
201604,6,2,3,0,0,1,U+0091=2;U+0096=4
201610,16,1,5,0,0,10,U+0091=7;U+0095=6;U+0096=3
201704,5,1,3,0,0,1,U+0091=2;U+0096=3
201710,2,0,2,0,0,0,U+0091=2
201804,3,0,3,0,0,0,U+0091=2;U+009D=1
201810,9,0,3,0,0,6,U+0091=7;U+0096=2
201904,4,0,3,0,0,1,U+0091=2;U+0096=2
201910,0,0,0,0,0,0,
202004,2,0,1,0,0,1,U+0096=2
202010,0,0,0,0,0,0,
202104,0,0,0,0,0,0,
202110,0,0,0,0,0,0,
202204,0,0,0,0,0,0,
202210,0,0,0,0,0,0,
202304,0,0,0,0,0,0,
202310,0,0,0,0,0,0,
202404,0,0,0,0,0,0,
202410,0,0,0,0,0,0,
202504,0,0,0,0,0,0,
202510,0,0,0,0,0,0,
