edition,total_abstracts,doctype_or_html_count,pct
199510,4999,0,0.0
199604,4831,0,0.0
199610,4939,0,0.0
199704,4621,0,0.0
199710,4598,0,0.0
199804,4703,0,0.0
199810,4726,0,0.0
199904,4694,0,0.0
199910,4746,0,0.0
200004,4630,0,0.0
200010,4895,0,0.0
200104,4723,0,0.0
200110,4697,0,0.0
200204,4423,0,0.0
200210,4431,0,0.0
200304,4727,0,0.0
200310,4330,0,0.0
200404,4393,0,0.0
200410,4083,0,0.0
200504,4087,0,0.0
200510,4062,0,0.0
200604,4095,0,0.0
200610,4052,0,0.0
200704,3823,0,0.0
200710,3882,0,0.0
200804,3885,0,0.0
200810,4004,0,0.0
200904,3989,0,0.0
200910,4043,0,0.0
201004,3943,0,0.0
201010,4225,0,0.0
201104,4257,0,0.0
201110,4128,0,0.0
2012,4063,0,0.0
201304,3503,0,0.0
201310,3305,0,0.0
201404,3348,0,0.0
201410,3415,1906,55.8
201504,3260,2778,85.2
201510,3297,2960,89.8
201604,3306,2986,90.3
201610,3318,2988,90.1
201704,3519,3134,89.1
201710,3209,3194,99.5
201804,3350,3172,94.7
201810,3534,3285,93.0
201904,3791,3561,93.9
201910,3752,3650,97.3
202004,3939,3771,95.7
202010,3853,3636,94.4
202104,3961,3760,94.9
202110,3777,3610,95.6
202204,3803,3653,96.1
202210,3690,3499,94.8
202304,3666,3561,97.1
202310,3599,3535,98.2
202404,3698,3509,94.9
202410,3331,3240,97.3
202504,3821,3817,99.9
202510,3954,3915,99.0
