rin,publication_id,ellipsis_ordinal,box_count,real_citations_following
0575-AC07,200104,8,10,1
0694-AA52,199910,1,14,12
0694-AA52,200110,9,11,1
0694-AB10,199910,1,15,13
0694-AB62,200110,9,11,1
0694-AB73,200110,9,11,1
0694-AB97,199910,5,15,9
0694-AB97,200004,5,15,9
0694-AB97,200110,7,11,3
0694-AC02,200004,0,15,14
0694-AC23,200904,10,21,10
0694-AC34,200904,10,21,10
0694-AC37,200110,7,11,3
0910-AB78,200004,7,16,8
0910-AB78,200010,14,16,1
0910-AB78,200104,14,16,1
0910-AB94,199910,1,11,9
0910-AB94,200004,1,11,9
0970-AB77,199910,1,11,9
1006-AA45,200504,0,3,2
1006-AA45,200510,0,3,2
1110-AA06,199910,1,7,5
1115-AF64,200004,0,7,6
1115-AF64,200010,5,7,1
1115-AF64,200104,5,7,1
1120-AA49,200004,7,16,8
1120-AA49,200010,14,16,1
1120-AA49,200104,14,16,1
1120-AB22,200004,7,16,8
1120-AB22,200010,14,16,1
1120-AB22,200104,14,16,1
1120-AB23,200004,7,16,8
1120-AB23,200010,14,16,1
1120-AB23,200104,14,16,1
1510-AA81,200004,4,6,1
2050-AE78,200004,15,17,1
2126-AA16,200004,3,6,2
2126-AA16,200010,4,6,1
2126-AA16,200104,4,6,1
2501-AC83,200110,10,13,2
3052-AB93,199910,7,58,50
3052-AB93,200004,7,58,50
3052-AB93,200010,56,58,1
3052-AB93,200104,56,58,1
3052-AB93,200110,56,58,1
3052-AB93,200204,56,58,1
3052-AC04,200110,14,16,1
3060-AG21,200004,5,7,1
3060-AH01,199910,1,13,11
3060-AH01,200004,11,13,1
3133-AC25,199910,1,6,4
3235-AH00,200004,7,42,34
3235-AH00,200010,7,42,34
3235-AH00,200104,40,42,1
3235-AH04,200004,7,16,8
3235-AH04,200010,14,16,1
3235-AH04,200104,14,16,1
3235-AH04,200110,14,16,1
