rin,publication_id,ordinal,citation_ordinal,authority_text,authority_type,parse_status,admin_order_kind,admin_order_number
1014-AA51,202104,2,0,OMB Circular A-119,administrative_order,ok,OMB Circular,A-119
1014-AA51,202110,2,0,OMB Circular A-119,administrative_order,ok,OMB Circular,A-119
1014-AA51,202204,2,0,OMB Circular A-119,administrative_order,ok,OMB Circular,A-119
1014-AA51,202210,2,0,OMB Circular A-119,administrative_order,ok,OMB Circular,A-119
1014-AA51,202304,2,0,OMB Circular A-119,administrative_order,ok,OMB Circular,A-119
1014-AA51,202310,2,0,OMB Circular A-119,administrative_order,ok,OMB Circular,A-119
1014-AA51,202404,2,0,OMB Circular A-119,administrative_order,ok,OMB Circular,A-119
1014-AA51,202410,2,0,OMB Circular A-119,administrative_order,ok,OMB Circular,A-119
1014-AA51,202504,2,0,OMB Circular A-119,administrative_order,ok,OMB Circular,A-119
1014-AA51,202510,2,0,OMB Circular A-119,administrative_order,ok,OMB Circular,A-119
1018-AH69,200104,0,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1018-AH69,200110,0,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1018-AH69,200204,0,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1018-AH69,200210,0,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1018-AH69,200304,0,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1018-AH69,200310,0,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1018-AH69,200404,0,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1018-AH69,200410,0,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1018-AH69,200504,0,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1090-AA58,199610,11,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA58,199610,12,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA58,199610,13,0,OMB Circular A-128,administrative_order,ok,OMB Circular,A-128
1090-AA58,199610,14,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1090-AA59,199704,11,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA59,199704,12,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA59,199704,13,0,OMB Circular A-128,administrative_order,ok,OMB Circular,A-128
1090-AA59,199704,14,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1090-AA62,199710,11,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA62,199710,12,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA62,199710,13,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1090-AA62,199804,11,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA62,199804,12,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA62,199804,13,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1090-AA66,199804,13,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA66,199804,14,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA66,199810,13,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA66,199810,14,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA66,199904,13,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA66,199904,14,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA66,199910,13,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA66,199910,14,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA66,200004,8,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA66,200004,9,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA66,200010,7,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA66,200010,8,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA66,200104,8,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA66,200104,9,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA66,200110,8,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA66,200110,9,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA66,200204,8,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA66,200204,9,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA67,199804,14,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
