rin,publication_id,run_start,run_length,next_box_ordinal
0572-AC60,202210,0,2,2
0572-AC60,202304,0,2,2
0694-AE17,200804,0,2,2
0702-AB14,202504,1,2,3
1004-AF04,202504,2,2,4
1004-AF04,202510,2,2,4
1012-AA28,201910,10,2,12
1012-AA28,202004,10,2,12
1012-AA28,202010,10,2,12
1012-AA28,202104,10,2,12
1012-AA28,202110,10,2,12
1012-AA28,202204,10,2,12
1012-AA28,202210,10,2,12
1120-AB49,201004,1,2,3
1120-AB49,201010,1,2,3
1120-AB49,201104,1,2,3
1120-AB49,201110,1,2,3
1120-AB49,201210,1,2,3
1140-AA48,201410,1,2,3
1140-AA48,201504,1,2,3
1140-AA48,201510,1,2,3
1205-AC10,202204,0,2,2
1210-AB55,201304,0,2,2
1210-AB55,201310,0,2,2
1400-AB11,200004,1,2,3
1615-AD01,202510,1,2,3
1652-AA18,200304,8,2,10
1652-AA18,200310,8,2,10
1652-AA18,200404,8,2,10
1902-AE01,201010,0,2,2
1902-AE01,201104,0,2,2
2060-AG71,199604,1,2,3
2060-AG71,199610,1,2,3
2120-AH82,200610,6,2,8
2120-AI52,200504,2,2,4
2120-AI52,200604,19,2,21
2133-AB37,199910,0,2,2
2133-AB37,200004,0,2,2
2133-AB37,200010,0,2,2
2133-AB37,200104,0,2,2
2133-AB37,200110,0,2,2
2133-AB37,200204,0,2,2
2133-AB37,200210,0,2,2
2135-AA15,200304,0,2,2
2502-AJ48,201810,1,2,3
2502-AJ48,201904,1,2,3
2502-AJ48,201910,1,2,3
2502-AJ48,202004,1,2,3
2502-AJ48,202010,1,2,3
2502-AJ48,202104,1,2,3
2502-AJ48,202110,1,2,3
2502-AJ48,202204,1,2,3
2502-AJ48,202210,1,2,3
2502-AJ48,202304,1,2,3
2502-AJ48,202310,1,2,3
2502-AJ48,202404,1,2,3
2506-AC44,201710,0,2,2
2506-AC60,202504,3,2,5
2506-AC60,202510,3,2,5
2577-AD24,202504,1,2,3
2577-AD24,202510,1,2,3
3038-AE56,201710,0,2,2
3038-AE64,201710,0,2,2
3038-AE82,201904,6,2,8
3052-AD46,202104,2,2,4
3052-AD46,202110,2,2,4
3060-AK40,202004,3,2,5
3060-AK40,202010,3,2,5
3060-AK40,202104,3,2,5
3060-AK40,202110,3,2,5
3060-AK40,202204,3,2,5
3060-AK40,202210,3,2,5
3060-AK40,202304,3,2,5
3060-AK40,202310,3,2,5
3060-AK40,202404,3,2,5
3060-AK58,201704,2,2,4
3064-AG17,202510,3,2,5
3072-AC75,202004,0,2,2
3072-AC83,202104,2,2,4
3072-AC95,202304,0,2,2
3072-AC95,202310,0,2,2
3072-AC96,202304,0,2,2
3072-AC96,202310,0,2,2
3090-AK80,202504,0,2,2
3220-AB63,201104,2,2,4
3245-AE14,200810,0,2,2
3245-AE14,200904,0,2,2
3245-AE14,200910,0,2,2
3245-AE14,201004,0,2,2
3245-AE14,201010,0,2,2
3245-AE14,201104,0,2,2
3245-AE14,201110,0,2,2
3245-AE14,201210,0,2,2
3245-AE14,201304,0,2,2
3245-AE14,201310,0,2,2
3245-AE14,201404,0,2,2
3245-AE14,201410,0,2,2
