eo_number,signing_date,title,president,source_url,source_sha256
12671,1989-03-14,Exclusion of the Customs Office of Enforcement from the Federal Labor-Management Relations Program,George Bush,https://www.archives.gov/federal-register/executive-orders/1989-bush.html,a249d3de0f7c0cf7673b22c4b8fb3b99e9faff29856fd64a4708977c0104f26c
12673,1989-03-23,Delegation of disaster relief and emergency assistance functions,George Bush,https://www.archives.gov/federal-register/executive-orders/1989-bush.html,a249d3de0f7c0cf7673b22c4b8fb3b99e9faff29856fd64a4708977c0104f26c
12674,1989-04-12,Principles of ethical conduct for Government officers and employees,George Bush,https://www.archives.gov/federal-register/executive-orders/1989-bush.html,a249d3de0f7c0cf7673b22c4b8fb3b99e9faff29856fd64a4708977c0104f26c
12684,1989-07-27,Conforming the Central Intelligence Agency and Civil Service Retirement and Disability Systems,George Bush,https://www.archives.gov/federal-register/executive-orders/1989-bush.html,a249d3de0f7c0cf7673b22c4b8fb3b99e9faff29856fd64a4708977c0104f26c
12689,1989-08-16,Debarment and Suspension,George Bush,https://www.archives.gov/federal-register/executive-orders/1989-bush.html,a249d3de0f7c0cf7673b22c4b8fb3b99e9faff29856fd64a4708977c0104f26c
12698,1989-12-23,Adjustments of certain rates of pay and allowances,George Bush,https://www.archives.gov/federal-register/executive-orders/1989-bush.html,a249d3de0f7c0cf7673b22c4b8fb3b99e9faff29856fd64a4708977c0104f26c
12699,1990-01-05,Seismic safety of Federal and Federally assisted or regulated new building construction,George Bush,https://www.archives.gov/federal-register/executive-orders/1990.html,97547c2a62457e4a6bc2cdacd45e4b0522113d2f51b5eabf2dbcf73a4ea8a843
12715,1990-05-03,"Determination under section 2606 of Title 10, United States Code, for support of scouting activities overseas",George Bush,https://www.archives.gov/federal-register/executive-orders/1990.html,97547c2a62457e4a6bc2cdacd45e4b0522113d2f51b5eabf2dbcf73a4ea8a843
12721,1990-07-30,Eligibility of overseas employees for noncompetitive appointments,George Bush,https://www.archives.gov/federal-register/executive-orders/1990.html,97547c2a62457e4a6bc2cdacd45e4b0522113d2f51b5eabf2dbcf73a4ea8a843
12731,1990-10-17,Principles of ethical conduct for Government officers and employees,George Bush,https://www.archives.gov/federal-register/executive-orders/1990.html,97547c2a62457e4a6bc2cdacd45e4b0522113d2f51b5eabf2dbcf73a4ea8a843
12735,1990-11-16,Chemical and biological weapons proliferation,George Bush,https://www.archives.gov/federal-register/executive-orders/1990.html,97547c2a62457e4a6bc2cdacd45e4b0522113d2f51b5eabf2dbcf73a4ea8a843
12742,1991-01-08,National security industrial responsiveness,George Bush,https://www.archives.gov/federal-register/executive-orders/1991.html,cbd7f106b143c9accd232b54acbf091dd643e2433fe6e661d38b0b339b732731
12744,1991-01-21,"Designation of Arabian Peninsula areas, airspace, and adjacent waters as a combat zone",George Bush,https://www.archives.gov/federal-register/executive-orders/1991.html,cbd7f106b143c9accd232b54acbf091dd643e2433fe6e661d38b0b339b732731
12748,1991-02-01,Providing for Federal Pay Administration,George Bush,https://www.archives.gov/federal-register/executive-orders/1991.html,cbd7f106b143c9accd232b54acbf091dd643e2433fe6e661d38b0b339b732731
12777,1991-10-18,"Implementation of section 311 of the Federal Water Pollution Control Act of October 18, 1972, as amended, and the Oil Pollution Act of 1990",George Bush,https://www.archives.gov/federal-register/executive-orders/1991.html,cbd7f106b143c9accd232b54acbf091dd643e2433fe6e661d38b0b339b732731
12778,1991-10-23,Civil Justice Reform,George Bush,https://www.archives.gov/federal-register/executive-orders/1991.html,cbd7f106b143c9accd232b54acbf091dd643e2433fe6e661d38b0b339b732731
12828,1993-01-05,Delegation of Certain Personnel Management Authorities,George Bush,https://web.archive.org/web/20170523183719/https://www.archives.gov/federal-register/executive-orders/1993-bush.html,652339255ce17697be03da72b554a96e1d7d9c12ed7c70c9a49db13a6ac1c200
12829,1993-01-06,National Industrial Security Program,George Bush,https://web.archive.org/web/20170523183719/https://www.archives.gov/federal-register/executive-orders/1993-bush.html,652339255ce17697be03da72b554a96e1d7d9c12ed7c70c9a49db13a6ac1c200
12831,1993-01-15,Additional Measures With Respect to the Federal Republic of Yugoslavia (Serbia and Montenegro),George Bush,https://web.archive.org/web/20170523183719/https://www.archives.gov/federal-register/executive-orders/1993-bush.html,652339255ce17697be03da72b554a96e1d7d9c12ed7c70c9a49db13a6ac1c200
12843,1993-04-21,Procurement requirements and policies for Federal agencies for ozone-depleting substances,William J. Clinton,https://web.archive.org/web/20170102022723/https://www.archives.gov/federal-register/executive-orders/1993-clinton.html,71eeb9ae9bbff081d1c7e9c3604c253d2be632fb07da08df95669f7d9d7e7fea
12849,1993-05-25,Implementation of agreement with the European Community on Government procurement,William J. Clinton,https://web.archive.org/web/20170102022723/https://www.archives.gov/federal-register/executive-orders/1993-clinton.html,71eeb9ae9bbff081d1c7e9c3604c253d2be632fb07da08df95669f7d9d7e7fea
12851,1993-06-11,"Administration of Proliferation Sanctions, Middle East Arms Control, and Related Congressional Reporting Responsibilities",William J. Clinton,https://web.archive.org/web/20170102022723/https://www.archives.gov/federal-register/executive-orders/1993-clinton.html,71eeb9ae9bbff081d1c7e9c3604c253d2be632fb07da08df95669f7d9d7e7fea
12854,1993-07-04,Implementation of the Cuban Democracy Act,William J. Clinton,https://web.archive.org/web/20170102022723/https://www.archives.gov/federal-register/executive-orders/1993-clinton.html,71eeb9ae9bbff081d1c7e9c3604c253d2be632fb07da08df95669f7d9d7e7fea
12856,1993-08-03,Federal Compliance With Right-to-Know Laws and Pollution Prevention Requirements,William J. Clinton,https://web.archive.org/web/20170102022723/https://www.archives.gov/federal-register/executive-orders/1993-clinton.html,71eeb9ae9bbff081d1c7e9c3604c253d2be632fb07da08df95669f7d9d7e7fea
12858,1993-08-04,Deficit Reduction Fund,William J. Clinton,https://web.archive.org/web/20170102022723/https://www.archives.gov/federal-register/executive-orders/1993-clinton.html,71eeb9ae9bbff081d1c7e9c3604c253d2be632fb07da08df95669f7d9d7e7fea
12859,1993-08-16,Establishment of the Domestic Policy Council,William J. Clinton,https://web.archive.org/web/20170102022723/https://www.archives.gov/federal-register/executive-orders/1993-clinton.html,71eeb9ae9bbff081d1c7e9c3604c253d2be632fb07da08df95669f7d9d7e7fea
12866,1993-09-30,Regulatory Planning and Review,William J. Clinton,https://web.archive.org/web/20170102022723/https://www.archives.gov/federal-register/executive-orders/1993-clinton.html,71eeb9ae9bbff081d1c7e9c3604c253d2be632fb07da08df95669f7d9d7e7fea
12869,1993-09-30,Continuance of certain Federal advisory committees,William J. Clinton,https://web.archive.org/web/20170102022723/https://www.archives.gov/federal-register/executive-orders/1993-clinton.html,71eeb9ae9bbff081d1c7e9c3604c253d2be632fb07da08df95669f7d9d7e7fea
12873,1993-10-20,"Federal acquisition, recycling, and waste prevention",William J. Clinton,https://web.archive.org/web/20170102022723/https://www.archives.gov/federal-register/executive-orders/1993-clinton.html,71eeb9ae9bbff081d1c7e9c3604c253d2be632fb07da08df95669f7d9d7e7fea
12881,1993-11-23,Establishment of the National Science and Technology Council,William J. Clinton,https://web.archive.org/web/20170102022723/https://www.archives.gov/federal-register/executive-orders/1993-clinton.html,71eeb9ae9bbff081d1c7e9c3604c253d2be632fb07da08df95669f7d9d7e7fea
12883,1993-11-29,Delegating a Federal Pay Administration Authority,William J. Clinton,https://web.archive.org/web/20170102022723/https://www.archives.gov/federal-register/executive-orders/1993-clinton.html,71eeb9ae9bbff081d1c7e9c3604c253d2be632fb07da08df95669f7d9d7e7fea
12885,1993-12-14,Amendment to Executive Order No. 12829,William J. Clinton,https://web.archive.org/web/20170102022723/https://www.archives.gov/federal-register/executive-orders/1993-clinton.html,71eeb9ae9bbff081d1c7e9c3604c253d2be632fb07da08df95669f7d9d7e7fea
