eo_number,row_count,n_editions,min_edition,max_edition,editions,partial_rows,out_of_series_rows
1197,6,6,200204,200410,"200204,200210,200304,200310,200404,200410",6,0
1205,5,5,202204,202404,"202204,202210,202304,202310,202404",0,0
1220,7,6,199510,199804,"199510,199604,199610,199704,199710,199804",0,0
1223,4,4,201004,201110,"201004,201010,201104,201110",0,0
1293,18,17,200610,201504,"200610,200704,200710,200804,200810,200904,200910,201004,201010,201104,201110,201210,201304,201310,201404,201410,201504",0,0
1327,3,3,201904,202004,"201904,201910,202004",0,0
1338,1,1,201910,201910,201910,1,0
3019,1,1,199510,199510,199510,0,0
3891,1,1,202004,202004,202004,0,0
6910,13,13,199604,200204,"199604,199610,199704,199710,199804,199810,199904,199910,200004,200010,200104,200110,200204",0,0
6964,13,13,199604,200204,"199604,199610,199704,199710,199804,199810,199904,199910,200004,200010,200104,200110,200204",0,0
7419,4,4,199510,199704,"199510,199604,199610,199704",0,0
8248,7,6,199510,201510,"199510,199604,201404,201410,201504,201510",2,0
8284,3,3,201404,201504,"201404,201410,201504",0,0
9193,7,7,200604,200904,"200604,200610,200704,200710,200804,200810,200904",0,0
9830,27,25,199510,201704,"199510,199604,199610,199704,199710,199804,199810,199904,199910,200004,200010,200104,200904,200910,201004,201010,201104,201110,201210,201304,201310,201404,201604,201610,201704",0,0
9865,5,5,199510,199710,"199510,199604,199610,199704,199710",0,0
9989,7,7,200604,200904,"200604,200610,200704,200710,200804,200810,200904",0,0
10000,23,17,199510,200404,"199510,199610,199704,199710,199804,199810,199904,199910,200004,200010,200104,200110,200204,200210,200304,200310,200404",0,0
10096,21,21,199510,200510,"199510,199604,199610,199704,199710,199804,199810,199904,199910,200004,200010,200104,200110,200204,200210,200304,200310,200404,200410,200504,200510",0,0
10122,9,9,201904,202304,"201904,201910,202004,202010,202104,202110,202204,202210,202304",9,0
10173,6,6,200610,200904,"200610,200704,200710,200804,200810,200904",0,0
10253,8,7,199604,199904,"199604,199610,199704,199710,199804,199810,199904",0,0
10355,1,1,200904,200904,200904,0,0
10400,9,9,201904,202304,"201904,201910,202004,202010,202104,202110,202204,202210,202304",9,0
10450,78,48,199510,202010,"199510,199604,199610,199704,199710,199804,199810,199904,199910,200004,200010,200104,200110,200204,200210,200304,200310,200404,200410,200504,200510,200604,200610,200704,200710,200804,200810,200904,200910,201004,201010,201104,201110,201210,201304,201310,201404,201410,201504,201510,201610,201704,201710,201804,201904,201910,202004,202010",5,0
10485,24,14,199904,202510,"199904,199910,200004,200010,200104,202104,202110,202204,202210,202304,202310,202404,202504,202510",7,0
10488,19,19,199510,200410,"199510,199604,199610,199704,199710,199804,199810,199904,199910,200004,200010,200104,200110,200204,200210,200304,200310,200404,200410",0,0
10521,1,1,200510,200510,200510,0,0
10527,2,2,199704,199710,"199704,199710",0,0
10530,12,10,202010,202510,"202010,202104,202110,202204,202210,202304,202310,202404,202504,202510",3,0
10548,1,1,201610,201610,201610,1,0
10550,1,1,201610,201610,201610,1,0
10577,331,60,199510,202510,"199510,199604,199610,199704,199710,199804,199810,199904,199910,200004,200010,200104,200110,200204,200210,200304,200310,200404,200410,200504,200510,200604,200610,200704,200710,200804,200810,200904,200910,201004,201010,201104,201110,201210,201304,201310,201404,201410,201504,201510,201604,201610,201704,201710,201804,201810,201904,201910,202004,202010,202104,202110,202204,202210,202304,202310,202404,202410,202504,202510",111,0
10718,12,6,200910,201210,"200910,201004,201010,201104,201110,201210",0,0
10777,2,2,199510,199604,"199510,199604",0,0
10789,7,7,199610,200910,"199610,199704,200710,200804,200810,200904,200910",0,0
10854,104,60,199510,202510,"199510,199604,199610,199704,199710,199804,199810,199904,199910,200004,200010,200104,200110,200204,200210,200304,200310,200404,200410,200504,200510,200604,200610,200704,200710,200804,200810,200904,200910,201004,201010,201104,201110,201210,201304,201310,201404,201410,201504,201510,201604,201610,201704,201710,201804,201810,201904,201910,202004,202010,202104,202110,202204,202210,202304,202310,202404,202410,202504,202510",0,0
10865,55,33,199510,202510,"199510,199604,199610,199704,199710,199804,199810,199904,199910,201010,201104,201110,201210,201304,201310,201404,201410,201504,201510,201604,201610,201704,201710,201804,202110,202204,202210,202304,202310,202404,202410,202504,202510",0,0
