eo_number,page,linked_own_page,amendments_raw,disposition_raw
9,1,False,"Clarified by EO 9-2. Amended by EO's 653, 1118, 1210, 1390, 1472, 1583, 1991, 2071, 2154, 2252, 2596, 3771, 3941, 4013, 4048, 4059, 4250, 4439, 4527, 4627, 5133, 5187, 5188, 5627, 5666, 5700, 6051, 6108, 6518, 6824, 7332, 7369, 7636, 7648, 7736, 7796, 7823, 7896, 7944, 8390, 8399, 8516, 8880, 8980, 9442, 9845, 10044, 10055, 10645",Revoked by EO 11408
170,1,False,&nbsp;,Revoked by EO 8084
171,1,False,&nbsp;,Revoked by EO 8396
194,1,False,&nbsp;,Revoked by EO 8036
279,1,False,&nbsp;,Revoked by EO 9830
283,1,False,&nbsp;,Revoked by EO 9830
294,1,False,&nbsp;,Revoked by EO 9830
314,1,False,Amended by EO 1065,Revoked by EO 9830
359,1,False,"Amended by EO's 3088, 3215",Superseded by EO 9367
458,1,False,&nbsp;,Revoked by EO 9830
493,1,False,Amended by EO 3206,Board abolished by EO 6680
495,1,False,&nbsp;,Revoked by EO 8036
589,1,False,Amended by EO 10009,"Authority repealed by act of June 27, 1952 (66 Stat. 279)"
641,1,False,&nbsp;,Revoked by EO 8036
653,1,False,Amended EO 9. Amended by EO 661,Revoked by EO 11408
661,1,False,Amended EO 653,Revoked by EO 11408
715,1,False,&nbsp;,Revoked by EO 9830
723,1,False,&nbsp;,Revoked by EO 12553
724,1,False,&nbsp;,Revoked by EO 8196
758,1,False,Amended by EO 1153,Revoked by EO 9830
982,1,False,&nbsp;,Revoked by EO 10869
983,1,False,Amended by EO 1776,Revoked by EO 9830
1008,1,False,"Amended by EO's 1175, 1362, 1559, 2323, 2464, 2901, 5487",Public lands
1032,1,False,"Amended by EO's 1439, 1486, 2178, 3468, 3725, 3904, 4860, 5375, 7417, 7655, 8380",Public lands
1065,1,False,Amended EO 314,Revoked by EO 9830
1072,1,False,Amended by EO 3158,Revoked by EO 11408
1076,1,False,&nbsp;,Superseded by EO 9636
1118,1,False,Amended EO 9,Revoked by EO 11408
1137,1,False,"Amended by EO's 2694, 2800, 6570",Public lands
1153,1,False,Amended EO 758,Revoked by EO 9830
1175,1,False,"Amended by EO's 1362, 1559, 5487",Public lands
1210,1,False,Amended EO 9,Revoked by EO 11408
1242,1,False,"Amended by EO's 2694, 2800, 6570",Public lands
1277,1,False,&nbsp;,Superseded by EO 9367
1362,1,False,"Amended by EO's 1559, 5487",Public lands
1390,1,False,Amended EO 9,Revoked by EO 11408
1439,1,False,Amended by EO 8380,Public lands
1472,1,False,"Amended EO 9. Amended by EO's 1930, 1947, 2325, 2819, 3359, 3597, 3668, 3860, 4013, 4048, 5627",Revoked EO 11408
1486,1,False,Amended EO 1032. Amended by EO 5375,Revoked by EO 7417
1556,1,False,&nbsp;,Revoked by EO 1637
1559,1,False,Amended by EO 5487,Public lands
1583,1,False,Amended EO 9,Revoked by EO 11408
1624,1,False,Amended by EO 1776,Revoked by EO 10869
1637,1,False,&nbsp;,Revoked by EO 2390
1712,1,False,Amended by EO 10009,"Authority repealed by act of June 27, 1952 (66 Stat. 279)"
1776,1,False,"Amended EO's 983, 1624",Revoked by EO 10869
1778,1,False,&nbsp;,Revoked by EO 10869
1888,1,True,"Amended by EO's 2514, 3232, 8215, 8931, 8986, 9467, 9580, 9740, 10263",Codified at Chapter 35
1930,1,False,Amended EO 1472,Revoked by EO 11408
1947,1,False,Amended EO 1472,Revoked by EO 11408
1950,1,False,&nbsp;,Revoked by EO 8036
1991,1,False,Amended EO 9,Revoked by EO 11408
2071,1,False,Amended EO 9,Revoked by EO 11408
2119,1,False,&nbsp;,Revoked by EO 10869
2154,1,False,Amended EO 9,Revoked by EO 11408
2164,1,False,&nbsp;,Revoked by EO 10351
2178,1,False,&nbsp;,Public lands
2246,1,False,Amended by EO 8059,Public lands
2252,1,False,Amended EO 9,Revoked by EO 11408
2262,1,False,&nbsp;,Revoked by EO 9521
2323,1,False,"Amended by EO's 2464, 2581, 5487. Modified by EO 9861",Public lands
2325,1,False,Amended EO 1472,Revoked by EO 11408
2335,1,False,Modified by EO 9861,Public lands
2357,1,False,&nbsp;,Revoked by EO 9830
2382,1,False,&nbsp;,Revoked by EO 10398
2390,1,False,Amended by EO 9646,Revoked by EO 10798
2406,1,False,&nbsp;,Revoked by EO 8396
2414,1,False,&nbsp;,Revoked by EO 10514
2458,1,False,&nbsp;,Revoked by EO 10068
2463,1,False,&nbsp;,Revoked by EO 9804
2464,1,False,Amended by EO 5487,Public lands
2483,1,False,&nbsp;,Revoked by EO 8196
2514,1,False,"Amended by EO's 8931, 9467",Amends EO 1888
2560,1,False,&nbsp;,Revoked by EO 3461
2566,1,False,Amended by EO 9545,Public lands
2581,1,False,Amended by EO 3193,Public lands
2596,1,False,Amended EO 9,"Revoked by EO's 3461, 11408"
2600,1,False,&nbsp;,Revoked by EO 3461
2602,1,False,&nbsp;,Revoked by EO 3461
2614,1,False,&nbsp;,Revoked by EO 3461
2617,1,False,&nbsp;,Revoked by EO 3461
2628,1,False,&nbsp;,Revoked by EO 3461
2659,1,False,&nbsp;,Revoked by EO 3461
2694,1,False,"Amended EO of July 20, 1899, EO's 1137, 1242",Revoked by EO 2800
2716,1,False,&nbsp;,Revoked by EO 3461
2721,1,False,&nbsp;,Revoked by EO 3461
2732,1,False,Amended by EO 6584,Public lands
2733,1,False,&nbsp;,Revoked by EO 3461
2734,1,False,&nbsp;,Revoked by EO 3461
2740,1,False,&nbsp;,Revoked by EO 3461
2741,1,False,&nbsp;,Revoked by EO 3461
2742,1,False,&nbsp;,Revoked by EO 3461
2752,1,False,&nbsp;,Revoked by EO 3461
2754,1,False,&nbsp;,Revoked by EO 3461
2756,1,False,&nbsp;,Revoked by EO 3461
2761,1,False,&nbsp;,Revoked by EO 3461
2762,1,False,&nbsp;,Revoked by EO 3461
2763,1,False,&nbsp;,Revoked by EO 3461
2766,1,False,&nbsp;,Revoked by EO 3461
2768,1,False,&nbsp;,Revoked by EO 3461
2786,1,False,&nbsp;,Revoked by EO 3461
2794,1,False,&nbsp;,Revoked by EO 3461
2800,1,False,"Amended by EO's 4274, 5771, 6570, 9995, 10454, 10665, 10719",Public lands
2808,1,False,&nbsp;,Revoked by EO 3461
2819,1,False,Amended EO 1472,Revoked by EO 11408
2821,1,False,&nbsp;,Revoked by EO 3461
2822,1,False,&nbsp;,Revoked by EO 3461
2828,1,False,&nbsp;,Revoked by EO 3461
2829,1,False,&nbsp;,Revoked by EO 3461
2833,1,False,&nbsp;,Revoked by EO 3461
2834,1,False,Amended by EO 2996,"Nullified by act of Mar. 3, 1921 (41 Stat. 1359)"
2852,1,False,&nbsp;,Revoked by EO 3461
2859,1,True,Amended by EO 10668,Codified at Chapter 9
2870,1,False,&nbsp;,Revoked by EO 3461
2875,1,False,&nbsp;,Revoked by EO 3461
2876,1,False,&nbsp;,Revoked by EO 3461
2892,1,False,&nbsp;,Revoked by EO 3461
2900,1,False,"Amended by EO's 3070, 4535, 5414, 7010, 7503, 8109, 10688, 10711",Public lands
2901,1,False,Amended by EO 5487,Public lands
2919,1,False,&nbsp;,Revoked by EO 3461
2921,1,False,&nbsp;,Revoked by EO 3461
2932,1,False,"Amended by EO's 3005, 3058, 3231, 3294, 3326, 3427, 3457, 3505, 3555, 3562, 3629, 3689, 3718","Superseded by EO's 4027, 4125"
2960,1,False,Amended EO 325A,Superseded by EO 11755
2975,1,False,&nbsp;,Revoked by EO 3461
2993,1,False,&nbsp;,Revoked by EO 9039
2995,1,False,&nbsp;,Revoked by EO 3461
2996,1,False,"Amended EO's 1888, 2834",Revoked by EO 3461
3005,1,False,Amended EO 2932,"Superseded by EO's 4027, 4125"
3011,1,False,"Amended by EO's 3083, 4577, 4589",Revoked by EO 5924
3058,1,False,Amended EO 2932,"Superseded by EO's 4027, 4125"
3070,1,False,&nbsp;,Public lands
3083,1,False,"Amended EO 3011. Amended by EO's 4577, 4589",Revoked by EO 5924
3088,1,False,Amended EO 359,Superseded by EO 9367
3108,1,False,&nbsp;,Revoked by EO 9830
3157,1,False,&nbsp;,Revoked by EO 8036
3158,1,False,Amended EO 1072,Revoked by EO 11408
3193,1,False,&nbsp;,Amends EO 2581
3206,1,False,"Amended EO 493. Amended by EO's 3246, 3391, 4547, 5268, 6918, 7262, 7688",Revoked by EO 9094
3215,1,False,Amended EO 359,Superseded by EO 9367
3231,1,False,Amended EO 2932,"Superseded by EO's 4027, 4125"
3232,1,False,"Amended by EO's 4721, 8986, 9164, 9467",Amends EO 1888
3246,1,False,Amended EO 3206. Amended by EO 7262,Revoked by EO 9094
3294,1,False,Amended EO 2932,"Superseded by EO's 4027, 4125"
3313,1,False,&nbsp;,Revoked by EO 9521
3326,1,False,Amended EO 2932,"Superseded by EO's 4027, 4125"
3358,1,False,"Amended by EO's 6584, 8527, 9752. Modified by EO's 8527, 9860",Public lands
