kind	rin	publication_id	ordinal	citation_ordinal	changes	authority_text
REMOVED	0581-AB67	200004	0	1	rin='0581-AB67'; publication_id='200004'; ordinal=0; authority_text='7 USC 15b and 51.65'; authority_type='usc'; parse_status='partial'; usc_title=7; usc_section='51'; usc_title_is_possible=True; usc_section_verdict='exists'; usc_section_attested_at_edition=True; usc_section_magnitude_is_plausible=True; authority_in_own_cfr_note='near-miss'; cfr_note_part='7 CFR 28'; authority_source='box' -> (no row)	7 USC 15b and 51.65
REMOVED	0581-AB67	200010	0	1	rin='0581-AB67'; publication_id='200010'; ordinal=0; authority_text='7 USC 15b and 51.65'; authority_type='usc'; parse_status='partial'; usc_title=7; usc_section='51'; usc_title_is_possible=True; usc_section_verdict='exists'; usc_section_attested_at_edition=True; usc_section_magnitude_is_plausible=True; authority_in_own_cfr_note='near-miss'; cfr_note_part='7 CFR 28'; authority_source='box' -> (no row)	7 USC 15b and 51.65
CHANGED	0694-AA11	199804	1	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AA11	199810	1	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AA11	199904	1	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AA11	199910	1	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AA11	200004	1	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AA11	200010	1	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AA67	199510	9	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AA67	199604	9	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AC17	200810	3	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 730'	50 USC app 2401 et seq
CHANGED	0694-AC17	200904	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 730'	50 USC app 2401 et seq
CHANGED	0694-AC17	200904	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 730'	50 USC app 2401 et seq
CHANGED	0694-AC17	200910	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 730'	50 USC app 2401 et seq
CHANGED	0694-AC17	200910	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 730'	50 USC app 2401 et seq
CHANGED	0694-AC17	201004	3	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 730'	50 USC app 2401 et seq
CHANGED	0694-AC17	201010	3	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 730'	50 USC 2401 et seq
CHANGED	0694-AC17	201104	3	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 730'	50 USC 2401 et seq
CHANGED	0694-AC17	201110	3	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 730'	50 USC 2401 et seq
