kind	rin	publication_id	ordinal	citation_ordinal	changes	authority_text
ADDED	2020-AA23	199510	2	1	(no row) -> rin='2020-AA23'; publication_id='199510'; ordinal=2; authority_text='42 USC 9609/CERCLA 109'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='9609'; act_key='cercla'; act_section='109'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:index-holds-a-bare-name-and-section'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 22'; authority_source='box'	42 USC 9609/CERCLA 109
ADDED	2020-AA23	199510	3	1	(no row) -> rin='2020-AA23'; publication_id='199510'; ordinal=3; authority_text='42 USC 7413/CAA 113'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='7413'; act_key='clean air act'; act_section='113'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 22'; authority_source='box'	42 USC 7413/CAA 113
ADDED	2020-AA23	199604	2	1	(no row) -> rin='2020-AA23'; publication_id='199604'; ordinal=2; authority_text='42 USC 9609/CERCLA 109'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='9609'; act_key='cercla'; act_section='109'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:index-holds-a-bare-name-and-section'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 22'; authority_source='box'	42 USC 9609/CERCLA 109
ADDED	2020-AA23	199604	3	1	(no row) -> rin='2020-AA23'; publication_id='199604'; ordinal=3; authority_text='42 USC 7413/CAA 113'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='7413'; act_key='clean air act'; act_section='113'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 22'; authority_source='box'	42 USC 7413/CAA 113
ADDED	2020-AA23	199604	5	1	(no row) -> rin='2020-AA23'; publication_id='199604'; ordinal=5; authority_text='42 USC 300/SDWA 1423'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='300h-2'; act_key='safe drinking water act'; act_section='1423'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 22'; authority_source='box'	42 USC 300/SDWA 1423
ADDED	2020-AA23	199610	2	1	(no row) -> rin='2020-AA23'; publication_id='199610'; ordinal=2; authority_text='42 USC 9609/CERCLA 109'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='9609'; act_key='cercla'; act_section='109'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:index-holds-a-bare-name-and-section'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 22'; authority_source='box'	42 USC 9609/CERCLA 109
ADDED	2020-AA23	199610	3	1	(no row) -> rin='2020-AA23'; publication_id='199610'; ordinal=3; authority_text='42 USC 7413/CAA 113'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='7413'; act_key='clean air act'; act_section='113'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 22'; authority_source='box'	42 USC 7413/CAA 113
ADDED	2020-AA23	199610	5	1	(no row) -> rin='2020-AA23'; publication_id='199610'; ordinal=5; authority_text='42 USC 300/SDWA 1423'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='300h-2'; act_key='safe drinking water act'; act_section='1423'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 22'; authority_source='box'	42 USC 300/SDWA 1423
ADDED	2020-AA23	199704	2	1	(no row) -> rin='2020-AA23'; publication_id='199704'; ordinal=2; authority_text='42 USC 9609/CERCLA 109'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='9609'; act_key='cercla'; act_section='109'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:index-holds-a-bare-name-and-section'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 22'; authority_source='box'	42 USC 9609/CERCLA 109
ADDED	2020-AA23	199704	3	1	(no row) -> rin='2020-AA23'; publication_id='199704'; ordinal=3; authority_text='42 USC 7413/CAA 113'; authority_type='act_relative'; parse_status='corroborated'; usc_title=42; usc_section='7413'; act_key='clean air act'; act_section='113'; act_resolution_evidence='table3-classification'; usc_section_verdict='exists'; usc_section_attested_at_edition=True; corroboration_rule='second-authority-behind-a-slash:agency-roster-initialism'; authority_in_own_cfr_note='absent'; cfr_note_part='40 CFR 22'; authority_source='box'	42 USC 7413/CAA 113
