rows with a usc_section_end today: 50297
 by rule: {'stated': 50033, 'abbreviated-span': 264}

rows whose END the oracle does NOT enumerate: 3048  (321 distinct)
     652  18 U.S.C. 5006 to 5024 [stated]  '18 USC 5006 to 5024'
     199  18 U.S.C. 4161 to 4166 [stated]  '18 USC 4161 to 4166'
     117  18 U.S.C. 5006 to 5024 [stated]  '18 USC 5006 to 5024 (Repealed October 12, 1984, as to offenses committ'
      53  18 U.S.C. 4201 to 4218 [stated]  '18 USC 4201 to 4218'
      52  42 U.S.C. 263b to 263n [stated]  '42 USC 263b to 263n'
      46  18 U.S.C. 4161 to 4166 [stated]  '18 USC 4161 to 4166, 5006 to 5024, 5039'
      45  21 U.S.C. 371 to 371a [stated]  '21 USC 371 to 371a'
      42  18 U.S.C. 5006 to 5024 [stated]  '18 U.S.C. 5006 to 5024 (repealed Oct. 12, 1984, as to offenses committ'
      38  42 U.S.C. 7101 to 7532 [stated]  '42 USC 7101 to 7532'
      37  5 U.S.C. 701 to 721 [stated]  '5 USC 701 to 721'
      37  18 U.S.C. 4251 to 4255 [stated]  '18 USC 4251 to 4255'
      35  42 U.S.C. 3600 to 3620 [stated]  '42 USC 3600 to 3620'
      34  18 U.S.C. 5006 to 5024 [stated]  '18 USC 5006 to 5024 (Repealed October 12, 1984, as to conduct occurrin'
      32  18 U.S.C. 5006 to 5024 [stated]  '18 U.S.C. 5006 to 5024 (Repealed October 12, 1984, as to offenses comm'
      31  18 U.S.C. 2568 to 3569 [stated]  '18 USC 2568 to 3569'
      30  49 U.S.C. 1481 to 1482 [stated]  '49 USC 1481 to 1482'
      29  49 U.S.C. 1371 to 1374 [stated]  '49 USC 1371 to 1374'
      29  18 U.S.C. 5006 to 5024 [stated]  '18 U.S.C. 5006 to 5024'
      28  18 U.S.C. 4161 to 4166 [stated]  '18 U.S.C. 4161 to 4166'
      27  18 U.S.C. 5006 to 5024 [stated]  '18 U.S.C. 5006 to 5024 (repealed Oct. 12, 1984 as to offenses committe'
      26  15 U.S.C. 1451 to 1561 [stated]  '15 USC 1451 to 1561'
      25  18 U.S.C. 5006 to 5024 [stated]  '18 USC 5006 to 5024, 5039'
      24  47 U.S.C. 3 to 4 [stated]  '47 USC 3 to 4'
      24  41 U.S.C. 7101 to 7352 [stated]  '41 U.S.C. 7101 to 7352'
      23  42 U.S.C. 3600 to 3620 [stated]  '42 U.S.C. 3600 to 3620'
      22  16 U.S.C. 792 to 825y [stated]  '16 USC 792 to 825y'
      22  42 U.S.C. 4311 to 4312 [stated]  '42 U.S.C. 4311 to 4312'
      21  49 U.S.C. 1 to 85 [stated]  '49 USC 1 to 85'
      20  49 U.S.C. 1421 to 1431 [stated]  '49 USC 1421 to 1431'
      20  20 U.S.C. 421 to 429 [stated]  '20 USC 421 to 429'
      20  40 U.S.C. 44701 to 44702 [stated]  '40 USC 44701 to 44702'
      19  48 U.S.C. 5101 to 5127 [stated]  '48 USC 5101 to 5127'
      19  18 U.S.C. 4161 to 4166 [stated]  '18 U.S.C. 4161 to 4166 (repealed as to offenses committed on or after '
      18  18 U.S.C. 3568 to 3569 [stated]  '18 USC 3568 to 3569'
      18  41 U.S.C. 263b to 263n [stated]  '41 USC 263b to 263n'
      17  16 U.S.C. 791a to 825v [stated]  '16 USC 791a to 825v'
      16  49 U.S.C. 1371 to 1379 [stated]  '49 USC 1371 to 1379'
      16  49 U.S.C. 1381 to 1382 [stated]  '49 USC 1381 to 1382'
      16  49 U.S.C. 1421 to 1430 [stated]  '49 USC 1421 to 1430'
      16  29 U.S.C. 1171 to 1173 [stated]  'Secs. 107, 209, 505, 701-703, 711, 712 731-734 of ERISA (29 U.S.C. 102'
