         93038810 function calls (92493974 primitive calls) in 18.647 seconds

   Ordered by: cumulative time
   List reduced from 300 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   18.647    9.323 validate.py:3679(_validate_shacl_data)
        2    0.000    0.000   18.646    9.323 entrypoints.py:45(validate)
        2    0.000    0.000   18.646    9.323 validator.py:178(run)
12787/386    0.043    0.000   18.636    0.048 profile_atlas_residual_shacl.py:122(measured_shape)
12787/386    0.090    0.000   18.608    0.048 shape.py:621(validate)
    12457    0.178    0.000   11.241    0.001 shape.py:542(value_nodes)
918641/413361    1.048    0.000   11.058    0.000 expression_helper.py:31(value_nodes_from_path)
  5118511    1.141    0.000   10.381    0.000 graph.py:672(triples)
  3139525    0.726    0.000   10.171    0.000 graph.py:987(objects)
  5118511    2.782    0.000    8.478    0.000 memory.py:411(triples)
  2669541    0.691    0.000    8.286    0.000 graph.py:3153(triples)
14532/128    0.029    0.000    5.402    0.042 profile_atlas_residual_shacl.py:103(measured_component)
  1146982    0.134    0.000    2.275    0.000 graph.py:919(subjects)
      386    0.002    0.000    2.068    0.005 shape.py:321(focus_nodes)
   176911    0.160    0.000    2.061    0.000 {method 'update' of 'set' objects}
  7232901    2.024    0.000    2.024    0.000 term.py:167(__eq__)
  9718154    0.981    0.000    1.992    0.000 {built-in method builtins.isinstance}
  2622430    0.593    0.000    1.817    0.000 memory.py:702(__contexts)
        2    0.001    0.001    1.781    0.891 logical_constraints.py:421(evaluate)
        2    0.003    0.002    1.780    0.890 logical_constraints.py:441(_evaluate_xone_constraint)
       14    0.000    0.000    1.707    0.122 property_pair_constraints.py:72(evaluate)
       14    0.143    0.010    1.707    0.122 property_pair_constraints.py:135(_evaluate_property_equals_rdflib)
  2496089    0.792    0.000    1.590    0.000 memory.py:681(__ctx_to_str)
     4104    0.008    0.000    1.534    0.000 shape_based_constraints.py:76(evaluate)
     8119    0.010    0.000    1.515    0.000 shape_based_constraints.py:108(_evaluate_property_shape)
  2622430    0.772    0.000    1.224    0.000 memory.py:644(__get_context_for_triple)
   924183    0.254    0.000    1.199    0.000 __init__.py:183(__getattr__)
  5808461    0.531    0.000    1.012    0.000 <frozen abc>:117(__instancecheck__)
   924183    0.281    0.000    0.832    0.000 __init__.py:176(term)
  3653229    0.453    0.000    0.794    0.000 memory.py:659(__triple_has_context)
  6371833    0.538    0.000    0.615    0.000 {method 'get' of 'dict' objects}
  2539995    0.590    0.000    0.590    0.000 {method 'format' of 'str' objects}
     4163    0.017    0.000    0.561    0.000 constraint_component.py:221(make_v_result)
    50103    0.073    0.000    0.560    0.000 graph.py:1208(items)
