authority_text,nrows,removed,added
"18 USC 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",344,"('usc', 18, '1987', None)",""
"18 USC 3621, 3622, 3624, 4001, 4005, 4042, 4045, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 4241 to 4247, 5006 to 5024 (Repealed October 12, 1984)",325,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
Clean Air Act,262,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 3521 to 3528, 3621, 3622, 3624, 4001, 4042, 4046, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",250,"('usc', 18, '1987', None)",""
Clean Air Act sec 112,222,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec 505,190,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 5006 to 5024 (Repealed October 12, 1984, as to offenses committed)",180,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
"18 USC 751, 752, 1791, 1792, 1793, 3050, 3621, 3622, 3624, 4001, 4012, 4042, 4081 and 4082 (Repealed as to offenses committed on or after November 1, 1987)",165,"('usc', 18, '1987', None)",""
"18 USC 5006 to 5024 (Repealed October 12, 1984, as to offenses committed after that date)",160,"('usc', 18, '1984', None)",""
"18 U.S.C. 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",144,"('usc', 18, '1987', None)",""
"18 USC 3013, 3571, 3572, 3621, 3622, 3624, 3663, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), and 4126",130,"('usc', 18, '1987', None)",""
"sec. 1, 4(i), 4(j), 4(o), 251(e)(3), 254, 301, 303(b), 303(g), 303(r), 307, 309(a), 309(j)",117,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 751, 752, 1791, 1792, 1793, 3050, 3621, 3622, 3624, 4001, 4012, 4042, 4081, 4082 (Repealed as to offenses committed on or after November 1, 1987)",105,"('usc', 18, '1987', None)",""
"18 U.S.C. 3621, 3622, 3624, 4001, 4042, 4081 and 4082 (repealed in part as to offenses committed on or after Nov. 1, 1987)",104,"('usc', 18, '1987', None)",""
"18 USC 3621, 3622, 3624, 4001, 4042, 4942, 4081, 4082 (Repealed in part as to conduct occurring on or after November 1, 1987), 5006 to 5024 (Repealed October 12, 1984, as to offense committed)",99,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
"18 USC 751, 3621, 3622, 3624, 4001, 4042, 4081 and 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",99,"('usc', 18, '1987', None)",""
"18 USC 3013, 3571, 3572, 3621, 3622, 3624, 3663, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",96,"('usc', 18, '1987', None)",""
"18 U.S.C. 4082 (repealed in part as to offenses committed on or after Nov. 1, 1987)",92,"('usc', 18, '1987', None)",""
Rail Safety Improvement Act of 2008,91,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 4001, 4042, 4942, 4081, 4082 (Repealed in part as to conduct occurring on or after November 1, 1987)",90,"('usc', 18, '1987', None)",""
"18 USC 4001, 4042, 4942, 4081, 4082 (Repealed in part as to conduct occurring on or after November 1, 1987), 5006 to 5024 (Repealed October 12, 1984, as to conduct occurring after that date), 5039",90,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
"CWA 301, 304, 306, 307, 308, 402, 501",84,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 1791, 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to conduct occurring on or after November 1, 1987)",81,"('usc', 18, '1987', None)",""
"18 U.S.C. 3013, 3571, 3572, 3621, 3622, 3624, 3663, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), and 4126",78,"('usc', 18, '1987', None)",""
"18 U.S.C. 751, 752, 1791, 1792, 1793, 3050, 3621, 3622, 3624, 4001, 4012, 4042, 4081 and 4082 (Repealed as to offenses committed on or after November 1, 1987)",75,"('usc', 18, '1987', None)",""
"18 USC 751, 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 4161 to 4166, 5006 to 5024 (Repealed October 12, 1984)",72,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
"18 USC 5006 to 5024 (Repealed October 12, 1984, as to conduct occurring after that date)",66,"('usc', 18, '1984', None)",""
CAA sec 112,63,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 301,63,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 111,62,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 304,62,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 1512, 3621, 3622, 3624, 4001, 4005, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",60,"('usc', 18, '1987', None)",""
CWA 501,60,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 3521 to 3528, 3621, 3622, 3624, 4001, 4042, 4046, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",60,"('usc', 18, '1987', None)",""
"18 USC 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 5006-5024 (Repealed October 12, 1984, as to offenses committed)",60,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
"18 USC 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 5006-5024 (Repealed October 12, 1984 as to offenses committed)",60,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
CAA,57,"('act_relative', None, None, None)","('other', None, None, None)"
Deficit Reduction Act of 2005,57,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 3521 3528, 3621,3622, 3624, 4001, 4042, 4046, 4081,4082 (Repealed in part as to offenses committed on or after November 1, 1987) 5006 5024 (Repealed October 12, 1984 as to offenses committed)",55,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
"18 U.S.C. 3621, 3622, 3624, 4001, 4042, 4942, 4081, 4082 (Repealed in part as to conduct occurring on or after November 1, 1987), 5006 to 5024 (Repealed October 12, 1984, as to offense committed)",55,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
"18 U.S.C. 5006 to 5024 (repealed Oct. 12, 1984 as to offenses committed after that date)",54,"('usc', 18, '1984', None)",""
"Social Security Act, sec 1871",50,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 402,47,"('act_relative', None, None, None)","('other', None, None, None)"
Nuclear Waste Policy Act of 1982,47,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 308,47,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 1791, 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",45,"('usc', 18, '1987', None)",""
CAA 112,45,"('act_relative', None, None, None)","('other', None, None, None)"
Affordable Care Act,45,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1102",45,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 306,44,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act Amendments of 1990 sec 112,41,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 5006, 5024 (Repealed October 12, 1984 as to offenses committed on or after November 1, 1987)",40,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
CAA sec 111,40,"('act_relative', None, None, None)","('other', None, None, None)"
