rin,majority_sig,minority_sig,reason,majority_n,minority_n,n_editions,shape,contiguous
0331-AA04,eo:13891,eo:3891,eo.field0.leading-digit,2,1,3,minority-prefix,true
0348-AB01,usc:31:3111,usc:31:1111,usc.field1.edit1,4,3,7,minority-suffix,true
0350-AA12,eo:23891,eo:13891,eo.field0.edit1,2,1,3,minority-suffix,true
0412-AA54,usc:7:1726a,usc:7:1726,usc.field1.trailing-char,13,3,16,minority-suffix,true
0524-AA58,usc:7:5925a,usc:7:5925,usc.field1.trailing-char,10,3,13,minority-suffix,true
0551-AA85,usc:7:3319,usc:7:3319a,usc.field1.trailing-char,7,2,9,minority-prefix,true
0570-AB10,usc:7:1989,usc:7:1980,usc.field1.edit1,3,1,4,minority-prefix,true
0572-AB48,usc:7:941,usc:7:901,usc.field1.edit1,5,1,6,minority-suffix,true
0572-AB63,usc:7:1921,usc:7:1981,usc.field1.edit1,3,2,5,minority-prefix,true
0575-AC03,usc:42:1471,usc:42:1971,usc.field1.edit1,3,2,5,minority-prefix,true
0575-AC07,usc:42:4012a,usc:42:4012,usc.field1.trailing-char,30,2,41,minority-suffix,true
0575-AC07,usc:42:4104b,usc:42:4104,usc.field1.trailing-char,30,2,41,minority-suffix,true
0578-AA27,usc:16:3801,usc:16:3821,usc.field1.edit1,7,6,13,minority-suffix,true
0579-AA80,usc:7:7711-7772,usc:7:7701-7772,usc.field1.edit1,13,1,27,minority-prefix,true
0579-AA80,usc:7:7711-7772,usc:7:7711-7712,usc.field1.edit1,13,4,27,minority-prefix,true
0579-AA83,usc:7:166,usc:7:162,usc.field1.edit1,3,2,10,minority-prefix,true
0579-AA83,usc:7:166,usc:7:161,usc.field1.edit1,3,2,10,minority-prefix,true
0579-AA90,usc:21:111-114,usc:21:111-114a,usc.field1.trailing-char,7,1,8,minority-suffix,true
0579-AB03,usc:21:135-136a,usc:21:136-136a,usc.field1.edit1,7,2,9,minority-suffix,true
0579-AB10,usc:21:134,usc:21:134b,usc.field1.trailing-char,5,2,12,minority-suffix,true
0579-AB10,usc:7:8301-8317,usc:7:8301-8316,usc.field1.edit1,4,1,12,minority-prefix,true
0579-AB13,usc:7:8301-8316,usc:7:8301-8317,usc.field1.edit1,3,1,8,minority-suffix,true
0579-AB21,usc:49:1509d,usc:49:1509,usc.field1.trailing-char,3,2,5,minority-prefix,true
0579-AB22,usc:31:3701,usc:31:9701,usc.field1.edit1,7,1,8,reverted-blip,true
0579-AB22,usc:7:8301-8317,usc:7:8301-8316,usc.field1.edit1,3,1,8,minority-prefix,true
0579-AB29,usc:7:8301-8317,usc:7:8301-8316,usc.field1.edit1,7,1,10,minority-prefix,true
0579-AB35,usc:21:134,usc:21:134b,usc.field1.trailing-char,6,2,24,minority-prefix,true
0579-AB35,usc:7:8301-8316,usc:7:8301-8317,usc.field1.edit1,16,6,24,minority-suffix,true
0579-AB44,usc:7:8301-8317,usc:7:8301-8316,usc.field1.edit1,10,6,17,minority-prefix,true
0579-AB45,usc:7:7701-7712,usc:7:7711-7712,usc.field1.edit1,8,5,17,minority-prefix,true
0579-AB45,usc:7:7701-7712,usc:7:7701-7772,usc.field1.edit1,8,4,17,minority-suffix,true
