authority_text,nrows,transform,variant,base,after,kind
Not Yet Determined,5338,whitespace:double,Not  Yet  Determined,"(('unstated', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
Not yet determined,86,whitespace:double,Not  yet  determined,"(('unstated', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"E.O. 13488, as amended (see 5 U.S.C.A. 7301 note) and Civil Service Rules II, V, and VI as amended and codified at 5 CFR parts 2, 5, and 6",42,usc-label:U.S.C.,"E.O. 13488, as amended (see 5 U.S.C..A. 7301 note) and Civil Service Rules II, V, and VI as amended and codified at 5 CFR parts 2, 5, and 6","(('cfr', None, None, None, None, 5, '2', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('cfr', None, None, None, None, 5, '5', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('cfr', None, None, None, None, 5, '6', None, Non","(('cfr', None, None, None, None, 5, '2', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('cfr', None, None, None, None, 5, '5', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('cfr', None, None, None, None, 5, '6', None, Non",identity
"E.O. 13488, as amended (see 5 U.S.C.A. 7301 note) and Civil Service Rules II, V, and VI as amended and codified at 5 CFR parts 2, 5, and 6",42,usc-label:U. S. C.,"E.O. 13488, as amended (see 5 U. S. C..A. 7301 note) and Civil Service Rules II, V, and VI as amended and codified at 5 CFR parts 2, 5, and 6","(('cfr', None, None, None, None, 5, '2', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('cfr', None, None, None, None, 5, '5', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('cfr', None, None, None, None, 5, '6', None, Non","(('cfr', None, None, None, None, 5, '2', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('cfr', None, None, None, None, 5, '5', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('cfr', None, None, None, None, 5, '6', None, Non",identity
Not applicable,33,whitespace:double,Not  applicable,"(('unstated', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"E.O. 13467, as amended (see 50 U.S.C.A. 3161 note)",30,usc-label:U.S.C.,"E.O. 13467, as amended (see 50 U.S.C..A. 3161 note)","(('executive_order', None, None, None, None, None, None, None, '13467', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('usc', 50, '3161', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, True))","(('executive_order', None, None, None, None, None, None, None, '13467', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"E.O. 13467, as amended (see 50 U.S.C.A. 3161 note)",30,usc-label:U. S. C.,"E.O. 13467, as amended (see 50 U. S. C..A. 3161 note)","(('executive_order', None, None, None, None, None, None, None, '13467', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('usc', 50, '3161', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, True))","(('executive_order', None, None, None, None, None, None, None, '13467', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"""Not Yet Determined""",30,whitespace:double,"""Not  Yet  Determined""","(('unstated', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)","(('other', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"E.O. 12968, as amended (see 50 U.S.C.A. 3161 note)",26,usc-label:U.S.C.,"E.O. 12968, as amended (see 50 U.S.C..A. 3161 note)","(('executive_order', None, None, None, None, None, None, None, '12968', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('usc', 50, '3161', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, True))","(('executive_order', None, None, None, None, None, None, None, '12968', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"E.O. 12968, as amended (see 50 U.S.C.A. 3161 note)",26,usc-label:U. S. C.,"E.O. 12968, as amended (see 50 U. S. C..A. 3161 note)","(('executive_order', None, None, None, None, None, None, None, '12968', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('usc', 50, '3161', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, True))","(('executive_order', None, None, None, None, None, None, None, '12968', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"D.C. Official Code, sec 24-101, sec 24-461 sec 24-465, sec 24-467, and sec 24-468",25,sec-marker:Section,"D.C. Official Code, Section 24-101, Section 24-461 Section 24-465, Section 24-467, and Section 24-468","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-101', None, None, None, None, None, None, False, False), ('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-461', None, None, None, None, None, None, False, False), ('dc_code', None, None, N","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
"D.C. Official Code, sec 24-101, sec 24-461 sec 24-465, sec 24-467, and sec 24-468",25,sec-marker:Sec.,"D.C. Official Code, Sec. 24-101, Sec. 24-461 Sec. 24-465, Sec. 24-467, and Sec. 24-468","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-101', None, None, None, None, None, None, False, False), ('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-461', None, None, None, None, None, None, False, False), ('dc_code', None, None, N","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
D.C. Code secs. 24-132(b) and 24-133(b)(2),24,sec-marker:Section,D.C. Code Section 24-132(b) and 24-133(b)(2),"(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-132', None, None, None, None, None, None, False, False), ('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-133', None, None, None, None, None, None, False, False))","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
D.C. Code secs. 24-132(b) and 24-133(b)(2),24,sec-marker:Sec.,D.C. Code Sec. 24-132(b) and 24-133(b)(2),"(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-132', None, None, None, None, None, None, False, False), ('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '24-133', None, None, None, None, None, None, False, False))","(('dc_code', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
Pub. L. 115-173 (see 50 U.S.C.A. 3161 note),24,usc-label:U.S.C.,Pub. L. 115-173 (see 50 U.S.C..A. 3161 note),"(('public_law', None, None, None, None, None, None, '115-173', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False), ('usc', 50, '3161', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, True))","(('public_law', None, None, None, None, None, None, '115-173', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, False, False),)",identity
