authority_text,usc_title,parsed_section,lettered_section_that_exists,rows
16 USC 460(q),16,460,460q,55
12 U.S.C. 1462(a),12,1462,1462a,50
16 USC 668(dd) to 668(ee),16,668,668dd,41
42 USC 1395(hh),42,1395,1395hh,40
21 USC 346(a),21,346,346a,40
12 U.S.C. 1831(o),12,1831,1831o,36
16 USC 559(a) to 559(g),16,559,559a,35
16 USC 460(g),16,460,460g,33
42 USC 7671 to 7671(q),42,7671,7671q,33
16 USC 472(a),16,472,472a,31
21 USC 346(a) et seq,21,346,346a,31
16 USC 715(i),16,715,715i,30
42 USC 300(f) et seq,42,300,300f,30
12 USC 1831(o),12,1831,1831o,27
21 U.S.C. 136 and 136(a),21,136,136a,24
21 USC 346(a) FFDCA,21,346,346a,22
12 USC 1715(b),12,1715,1715b,22
42 USC 300(f) SDWA sec 1412,42,300,300f,22
16 USC 460(k) et seq,16,460,460k,21
15 USC 714(f),15,714,714f,20
15 USC 714(b),15,714,714b,20
47 U.S.C. 399(b),47,399,399b,20
12 U.S.C. 1831(n) (note),12,1831,1831n,20
15 USC 57(a),15,57,57a,20
"15 U.S.C. 18(a), Clayton Act",15,18,18a,19
42 U.S.C. 1395(hh),42,1395,1395hh,19
42 U.S.C. 7671 to 7671(q),42,7671,7671q,18
16 USC 521(c) to 521(i),16,521,521c,18
25 USC 396(d),25,396,396d,18
28 USC 589(b),28,589,589b,17
15 USC 77a(a),15,77a,77aa,17
42 USC 1395(cc),42,1395,1395cc,17
42 USC 1302 and 42 USC 1395(hh),42,1395,1395hh,15
25 U.S.C. 396(d),25,396,396d,15
42 USC 1395(fff),42,1395,1395fff,15
42 USC 7671(g) CAA sec 608,42,7671,7671g,14
29 U.S.C. 794(f),29,794,794f,14
12 USC 1735(f)-14,12,1735,1735f,14
16 USC 460(k),16,460,460k,14
42 U.S.C. 1395(fff),42,1395,1395fff,13
28 U.S.C. 589(b),28,589,589b,13
42 U.S.C. 6939(g),42,6939,6939g,13
42 USC 1437(d),42,1437,1437d,13
42 USC 7661(a)(d)(3),42,7661,7661a,13
42 U.S.C. 1395(m),42,1395,1395m,12
42 U.S.C. 1395(cc),42,1395,1395cc,12
"42 U.S.C. 1437(c)(8), 1437f(t)",42,1437,1437c,12
43 USC 315(a),43,315,315a,12
42 USC 629(b),42,629,629b,10
42 USC 1437(g),42,1437,1437g,10
22 U.S.C. 2651(a),22,2651,2651a,10
42 USC 1396(k),42,1396,1396k,9
25 U.S.C. 161(a),25,161,161a,9
42 USC 1437(p),42,1437,1437p,9
47 U.S.C. 615(a)(1) and 615(c),47,615,615a,9
"16 USC 664, 668dd to 668ee, 715(i)",16,715,715i,9
42 USC 1395(h),42,1395,1395h,8
12 U.S.C. 1831(m),12,1831,1831m,8
42 USC 300(g)(1) SDWA 1412,42,300,300g,8
16 U.S.C. 973 to 973(r),16,973,973r,8
12 USC 1831(e),12,1831,1831e,8
12 U.S.C. 1831(f),12,1831,1831f,8
"42 USC 7671(g) ""CAA 608""",42,7671,7671g,8
"12 USC 1701z-11(e), 1709(c)(1), 1713 and 1715(b)",12,1715,1715b,7
16 U.S.C. 460(k) et seq.,16,460,460k,7
42 USC 300(f) SDWA 1401,42,300,300f,7
"21 USC 346(a) ""FFDCA""",21,346,346a,7
29 USC 794(f),29,794,794f,7
21 U.S.C. 467(f),21,467,467f,7
42 USC 7671(k) CAA sec 612,42,7671,7671k,7
42 U.S.C. 1437(f),42,1437,1437f,7
42 USC 12651(c),42,12651,12651c,7
33 USC 892(a) to 892(b),33,892,892a,7
42 USC 300(f) to 300(j)-26,42,300,300f,6
