candidate sections in the twelve recovered volumes: 7218
year	title	section	member	itempath	printed_heading
2010	12	1701z-2	2010/2010USC12.htm	/120/CHAPTER 13/Sec. 1701z-2	§1701z–2. Advanced technologies, methods, and materials for housing construction, rehabilitation, and maintenance
2010	12	1715p	2010/2010USC12.htm	/120/CHAPTER 13/SUBCHAPTER II/Sec. 1715p	§1715p. Insurance of advances under open-end mortgages; payment of charges; eligibility and conditions
2010	12	1795a	2010/2010USC12.htm	/120/CHAPTER 14/SUBCHAPTER III/Sec. 1795a	§1795a. Definitions
2010	12	2258	2010/2010USC12.htm	/120/CHAPTER 23/SUBCHAPTER V/Part B/Sec. 2258	§2258. Jurisdiction
2010	12	4602	2010/2010USC12.htm	/120/CHAPTER 46/SUBCHAPTER I/Part C/Sec. 4602	§4602. Studies of effects of privatization of FNMA and FHLMC
2010	12	5436	2010/2010USC12.htm	/120/CHAPTER 53/SUBCHAPTER III/Part B/Sec. 5436	§5436. Continuation of services
2012	33	1165a	2012/2012USC33.htm	/330/CHAPTER 23/Sec. 1165a	§1165a. Transferred
2012	33	1229	2012/2012USC33.htm	/330/CHAPTER 25/Sec. 1229	§1229. Applicability
2012	33	449	2012/2012USC33.htm	/330/CHAPTER 9/SUBCHAPTER III/Sec. 449	§449. Disposition of dredged matter; persons liable; penalty
2012	33	661	2012/2012USC33.htm	/330/CHAPTER 14/Sec. 661	§661. Creation of commission; appointment of members; vacancies; powers generally
2012	33	763c	2012/2012USC33.htm	/330/CHAPTER 16/Sec. 763c	§763c. Repealed. Pub. L. 93–222, §7(b), Dec. 29, 1973, 87 Stat. 936
2012	33	855	2012/2012USC33.htm	/330/CHAPTER 17/SUBCHAPTER I/Sec. 855	§855. Repealed. Pub. L. 107–372, title II, §271(4), Dec. 19, 2002, 116 Stat. 3094
2012	33	857-18	2012/2012USC33.htm	/330/CHAPTER 17/SUBCHAPTER I/Sec. 857-18	§857–18. Authorization of appropriations
2012	35	271	2012/2012USC35.htm	/350/PART III/CHAPTER 28/Sec. 271	§271. Infringement of patent
2012	36	21702	2012/2012USC36.htm	/360/Subtitle II/Part B/CHAPTER 217/Sec. 21702	§21702. Purposes
2012	36	22503	2012/2012USC36.htm	/360/Subtitle II/Part B/CHAPTER 225/Sec. 22503	§22503. Membership
2012	38	1508	2012/2012USC38.htm	/380/PART II/CHAPTER 15/SUBCHAPTER I/Sec. 1508	§1508. Frequency of payment of pension benefits
2012	38	2042	2012/2012USC38.htm	/380/PART II/CHAPTER 20/SUBCHAPTER V/Sec. 2042	§2042. Supported housing for veterans participating in compensated work therapies
2012	38	7307	2012/2012USC38.htm	/380/PART V/CHAPTER 73/SUBCHAPTER I/Sec. 7307	§7307. Office of Research Oversight
2012	40	526	2012/2012USC40.htm	/400/SUBTITLE I/CHAPTER 5/SUBCHAPTER II/Sec. 526	§526. Temporary assignment of excess real property
