year	member	bytes	member_mtime	gen1_match	gen2_match	verdict
1994	1994/usc.css	20001	2009-12-15T17:34:28	no	no	not a title volume in either generation
1995	1995/usc.css	20001	2009-12-15T17:34:28	no	no	not a title volume in either generation
1996	1996/usc.css	20001	2009-12-15T17:34:28	no	no	not a title volume in either generation
1997	1997/usc.css	20001	2009-12-15T17:34:28	no	no	not a title volume in either generation
1998	1998/usc.css	20001	2009-12-15T17:34:28	no	no	not a title volume in either generation
1999	1999/usc.css	20001	2009-12-15T17:34:28	no	no	not a title volume in either generation
2000	2000/usc.css	20001	2009-12-15T17:34:28	no	no	not a title volume in either generation
2001	2001/usc.css	20001	2009-12-15T17:34:28	no	no	not a title volume in either generation
2002	2002/usc.css	20001	2009-12-15T17:34:28	no	no	not a title volume in either generation
2003	2003/usc.css	20001	2009-12-15T17:34:26	no	no	not a title volume in either generation
2004	2004/usc.css	20001	2009-12-15T17:34:26	no	no	not a title volume in either generation
2005	2005/usc.css	20001	2009-12-15T17:34:26	no	no	not a title volume in either generation
2006	2006/usc.css	20001	2009-12-15T17:34:28	no	no	not a title volume in either generation
2007	2007/usc.css	20001	2009-12-15T17:34:26	no	no	not a title volume in either generation
2008	2008/usc.css	20001	2009-12-15T17:34:26	no	no	not a title volume in either generation
2009	2009/usc.css	20001	2009-12-15T17:34:26	no	no	not a title volume in either generation
2010	2010/2010USC12.htm	16580678	2011-07-21T15:46:46	no	title=12 appendix=False	SILENTLY SKIPPED TITLE VOLUME
2010	2010/2010USC13.htm	357215	2011-07-21T15:46:52	no	title=13 appendix=False	SILENTLY SKIPPED TITLE VOLUME
2010	2010/2010USC14.htm	1466350	2011-07-21T15:46:56	no	title=14 appendix=False	SILENTLY SKIPPED TITLE VOLUME
2010	2010/2010USC51.htm	1224174	2011-08-01T15:33:08	no	title=51 appendix=False	SILENTLY SKIPPED TITLE VOLUME
2010	2010/2010uscPopularNames.htm	5036583	2011-07-08T13:25:20	no	no	not a title volume in either generation
2010	2010/2010uscTable3.htm	25668438	2011-11-28T11:34:22	no	no	not a title volume in either generation
2010	2010/usc.css	20001	2009-12-15T17:34:26	no	no	not a title volume in either generation
2011	2011/tbl112cd_2nd.htm	42428	2012-04-19T10:42:24	no	no	not a title volume in either generation
2011	2011/tbl112pl_2nd.htm	42440	2012-04-19T10:45:26	no	no	not a title volume in either generation
