rin	publication_id	edition_year	usc_title	usc_section	usc_appendix	authority_text	whole_citation
0348-AB64	201210	2012	41	1502	False	41 USC 1502(c) (formerly, 41 USC 422(g))	41 USC 1502(c) (formerly, 41 USC 422(g))
0348-AB68	201210	2012	41	1502	False	41 USC 1502(b)(1)(B) (formerly, 41 USC 422(f)(2)(A))	41 USC 1502(b)(1)(B) (formerly, 41 USC 422(f)(2)(A))
0348-AB68	201210	2012	41	1502	False	41 USC 1502(c) (formerly, 41 USC 422(g))	41 USC 1502(c) (formerly, 41 USC 422(g))
0348-AB68	201210	2012	41	1908	False	and 41 USC 1908 (formerly, 41 USC 431(a))	and 41 USC 1908 (formerly, 41 USC 431(a))
0607-AA42	201004	2010	13	141	False	13 USC 141(c)	13 USC 141(c)
0607-AA42	201010	2010	13	141	False	13 USC 141(c)	13 USC 141(c)
0607-AA46	201004	2010	13	181	False	13 USC 181	13 USC 181
0607-AA46	201004	2010	13	4	False	13 USC 4	13 USC 4
0607-AA46	201010	2010	13	181	False	13 USC 181	13 USC 181
0607-AA46	201010	2010	13	4	False	13 USC 4	13 USC 4
0607-AA48	201004	2010	13	301	False	13 USC 301 and 307	13 USC 301 and 307
0607-AA48	201004	2010	13	307	False	13 USC 301 and 307	13 USC 301 and 307
0607-AA49	201004	2010	13	4	False	13 USC 4	13 USC 4
0607-AA50	201010	2010	13	301	False	13 USC 301	13 USC 301
0648-BC18	201210	2012	33	3601	False	33 USC 3601-3610	33 USC 3601-3610
0651-AB55	201210	2012	35	2	False	35 USC 2(b)(2)(D)	35 USC 2(b)(2)(D)
0651-AC19	201210	2012	35	2	False	35 USC 2(b)(2)	35 USC 2(b)(2)
0651-AC27	201210	2012	35	2	False	35 USC 2(b)(2)	35 USC 2(b)(2)
0651-AC32	201210	2012	35	2	False	35 USC 2(b)(2)(D)	35 USC 2(b)(2)(D)
0651-AC32	201210	2012	35	41	False	35 USC 41(d)	35 USC 41(d)
0651-AC35	201210	2012	35	2	False	35 USC 2	35 USC 2
0651-AC39	201210	2012	35	2	False	35 USC 2	35 USC 2
0651-AC40	201210	2012	35	2	False	35 USC 2	35 USC 2
0651-AC42	201210	2012	35	119	False	35 USC 119	35 USC 119
0651-AC42	201210	2012	35	120	False	35 USC 120	35 USC 120
0651-AC42	201210	2012	35	132	False	35 USC 132(b)	35 USC 132(b)
0651-AC42	201210	2012	35	376	False	35 USC 376	35 USC 376
0651-AC42	201210	2012	35	41	False	35 USC 41	35 USC 41
0651-AC44	201210	2012	35	119	False	35 USC 119	35 USC 119
0651-AC44	201210	2012	35	120	False	35 USC 120	35 USC 120
0651-AC44	201210	2012	35	132	False	35 USC 132(b)	35 USC 132(b)
0651-AC44	201210	2012	35	376	False	35 USC 376	35 USC 376
0651-AC44	201210	2012	35	41	False	35 USC 41	35 USC 41
0651-AC45	201210	2012	35	2	False	35 USC 2(b)(2)	35 USC 2(b)(2)
0651-AC47	201210	2012	35	2	False	35 USC 2(b)(2)	35 USC 2(b)(2)
