topic,general_schemes,in_lcsh,in_mesh,in_eurovoc,in_gemet,in_fr_thesaurus
coal,13,true,true,true,true,true
education,13,true,true,true,true,true
copper,12,true,true,true,true,false
environmental protection,12,true,true,true,true,true
internet,12,true,true,true,true,true
natural gas,12,true,true,true,true,true
petroleum,12,true,true,true,true,true
agriculture,11,true,true,true,true,true
ammonia,11,true,true,true,true,false
arsenic,11,true,true,true,true,false
cattle,11,true,true,true,true,true
clothing,11,true,true,true,true,true
ethics,11,true,true,true,true,false
gasoline,11,true,true,true,false,true
lead,11,true,true,true,true,true
public health,11,true,true,true,true,true
solar energy,11,true,true,true,true,true
telecommunications,11,true,true,true,true,true
transportation,11,true,true,false,true,true
tuberculosis,11,true,true,true,false,false
zinc,11,true,true,true,true,true
accounting,10,true,true,true,true,true
acid rain,10,true,true,true,true,false
advertising,10,true,true,true,false,true
asbestos,10,true,true,true,true,true
cancer,10,true,true,true,true,true
carbon dioxide,10,true,true,true,true,false
carbon monoxide,10,true,true,true,true,false
consumer protection,10,true,false,true,true,true
crime,10,true,true,true,true,true
energy,10,true,false,false,true,true
energy conservation,10,true,false,true,true,true
health,10,true,true,true,true,true
insurance,10,true,true,true,true,true
iron,10,true,true,true,true,true
law,10,true,true,true,false,false
livestock,10,true,true,true,true,true
methane,10,true,true,true,true,false
music,10,true,true,true,true,true
nutrition,10,true,false,true,true,true
research,10,true,true,true,true,true
rice,10,true,true,true,true,false
silver,10,true,true,true,true,true
statistics,10,true,true,true,true,true
television,10,true,true,true,true,true
terrorism,10,true,true,true,false,true
weather,10,true,true,false,true,true
antarctica,9,true,true,true,true,false
bankruptcy,9,true,true,true,false,true
benzene,9,true,true,true,true,false
blood,9,true,true,false,false,true
construction industry,9,true,true,true,false,true
cotton,9,true,false,true,true,true
drug abuse,9,true,true,true,true,true
employment,9,true,true,false,true,true
fish,9,true,false,true,true,true
geothermal energy,9,true,true,true,true,true
health care,9,true,true,true,true,true
housing,9,true,true,true,true,true
irrigation,9,true,false,true,true,true
law enforcement,9,true,true,false,true,true
mercury,9,true,true,true,true,false
metals,9,true,true,true,false,true
nitrogen dioxide,9,true,true,false,true,false
nuclear energy,9,true,true,true,true,true
ozone,9,true,true,true,true,true
radiation protection,9,true,true,true,true,true
radon,9,true,true,true,true,false
recycling,9,true,true,false,true,true
sheep,9,true,true,true,false,true
sodium,9,true,true,true,false,true
sulfur,9,true,true,false,true,false
tobacco,9,true,false,true,true,true
travel,9,true,true,true,true,true
uranium,9,true,true,true,true,false
vocational education,9,true,true,true,false,true
wildlife,9,true,false,true,true,true
women,9,true,true,true,false,true
youth,9,true,true,true,true,true
adult education,8,true,false,true,true,true
aircraft,8,true,true,true,true,true
airports,8,true,true,false,false,true
animals,8,true,true,false,false,true
antibiotics,8,true,true,false,false,true
armed forces,8,true,false,true,true,true
barley,8,true,true,true,false,false
beryllium,8,true,true,true,true,false
fisheries,8,true,true,true,false,true
fishing,8,true,true,true,true,true
formaldehyde,8,true,true,false,false,false
fraud,8,true,true,true,false,true
health insurance,8,true,true,true,false,true
horses,8,true,true,false,false,false
hospitals,8,true,true,false,false,true
hunting,8,true,true,true,true,true
immigration,8,true,true,true,false,true
libraries,8,true,true,false,false,true
manpower,8,true,true,true,true,true
military personnel,8,true,true,true,false,true
milk,8,true,true,true,true,true
nitrogen oxides,8,true,true,false,true,false
plutonium,8,true,true,true,true,false
potassium,8,true,true,true,false,false
railroads,8,true,true,false,false,true
schools,8,true,true,false,false,true
smoking,8,true,true,true,true,true
students,8,true,true,false,false,true
time,8,true,true,false,true,true
urban areas,8,true,false,false,false,true
water resources,8,true,true,true,false,true
wool,8,true,true,true,true,true
alcohol abuse,7,true,true,true,false,true
alcoholism,7,true,true,true,false,true
animal welfare,7,true,true,true,false,true
community development,7,true,true,false,false,true
credit,7,true,false,true,true,true
drugs,7,true,true,false,false,true
explosives,7,true,true,false,false,true
family planning,7,true,true,true,true,true
fertilizers,7,true,true,false,false,true
gambling,7,true,true,true,false,true
gases,7,true,true,false,false,true
hydrocarbons,7,true,true,false,false,true
laboratories,7,true,true,false,false,true
natural resources,7,true,true,true,false,true
oats,7,true,true,true,false,false
oil pollution,7,false,true,true,true,true
pipelines,7,true,false,false,false,true
public housing,7,true,true,false,false,true
retirement,7,true,true,false,false,true
seeds,7,true,true,false,false,true
social security,7,true,true,true,true,true
